geometry,SWID,NAME,PERMITTED,TYPE,RECYCLING,TRASH,EWaste,HHW,FOOD SCRAPS,C&D,CLEAN WOOD,LEAF YARD DEBRIS,MATERIAL SPECIFICS,ADDRESS,TOWN,STATE,ZIP,COUNTY,MAILING ADDRESS,MAILING CITY,MAILING STATE,MAILING ZIP,TELEPHONE,Email,WEBSITE,LAST VISIT,Active,Latitude,Longitude,Location,ID,EABPartnerFacility
"X: -8057482.8548024, Y: 5578880.15825435, Z: NaN",OL030,Albany Drop Off Center,Yes,Transfer Station,YES,NO,NO,NO,NO,,NO,NO,,1030 Main St,Albany,VT,5820,Orleans,,,,,802-755-6100,,,2022-05-10T00:00:00.0000000,1,44.72846322,-72.38155638,,111,NO
"X: -8056369.65989447, Y: 5564554.45363469, Z: NaN",OL100,Lamoille District Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,NO,NO,NO,,Creek Road,Craftsbury,VT,5826,Orleans,,,,,802-888-7317,,,2021-02-17T00:00:00.0000000,1,44.63695608,-72.37160236,,116,NO
"X: -8047875.98274694, Y: 5555563.51766685, Z: NaN",OL020,Greensboro Drop Off,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,81 Lauredon Avenue,Greensboro,VT,5841,Orleans,P.O. Box 119,Greensboro,VT,5841,802-533-2911,,http://www.greensborovt.org/resources/,2021-02-17T00:00:00.0000000,1,44.579475,-72.2953409,,120,NO
"X: -8051883.4844155, Y: 5543303.2786958, Z: NaN",CA144,Hardwick/All Metals Recycling & Salvage Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,YES,,YES,NO,,2141 Vermont Route 15,Hardwick,VT,5843,Caledonia,,,,,802-472-5155,,,2021-01-26T00:00:00.0000000,1,44.50102031,-72.33128875,,44,NO
"X: -8067958.01888605, Y: 5551344.75479434, Z: NaN",LA921,Wolcott Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Gulf Rd,Wolcott,VT,5680,Lamoille,,,,,802-888-2746,,,2022-10-31T00:00:00.0000000,1,44.55248781,-72.47573207,,97,NO
"X: -8057026.44489015, Y: 5580556.883675, Z: NaN",OL050,KNS Tire Transfer Station,Yes,Transfer Station,NO,NO,NO,NO,NO,,NO,NO,tires only,260 Main Street,Albany,VT,5820,Orleans,,,,,802-755-9278,,,2021-02-17T00:00:00.0000000,1,44.73919819,-72.37745788,,112,NO
"X: -8134604.99802399, Y: 5539651.82887238, Z: NaN",CH930,CSWD - Williston Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,1492 Redmond Rd,Williston,VT,5495,Chittenden,,,,,802-872-8100,,,2022-05-23T00:00:00.0000000,1,44.47755391,-73.07444572,,70,NO
"X: -8083709.7268333, Y: 5567621.22580229, Z: NaN",LA331,Lamoille District Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,941 Wilson Rd,Johnson,VT,5656,Lamoille,,,,,802-635-9246,,,2023-01-24T00:00:00.0000000,1,44.65655015,-72.61722565,,92,NO
"X: -8084767.26199584, Y: 5548033.61623308, Z: NaN",LA931,Lamoille District Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,NO,NO,NO,,832 Cochran Road,Morrisville,VT,,Lamoille,,,,,802-888-7317,,,2022-05-19T00:00:00.0000000,1,44.531296,-72.626694,,93,NO
"X: -8039660.6043264, Y: 5607143.88547241, Z: NaN",OL510,Waste USA Landfill,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,21 Landfill Lane,Coventry,VT,5825,Orleans,,,,,802-334-8300,,,2023-04-26T00:00:00.0000000,1,44.90860132,-72.22148249,,115,NO
"X: -8015860.4971948, Y: 5608558.60721159, Z: NaN",OL461,Morgan Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,285 Hatton Heights Rd,Morgan,VT,5853,Orleans,,,,,802-895-2927,,,2019-02-08T00:00:00.0000000,1,44.91764215,-72.0077144,,124,NO
"X: -7992505.66802637, Y: 5622434.62370755, Z: NaN",ES033,Norton Drop Off,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,249 Rt 114 S,Norton,VT,5907,Essex,,,,,802-822-9935,,,2020-03-04T00:00:00.0000000,1,45.00578456,-71.79789073,,77,NO
"X: -7960367.73103436, Y: 5607898.37616239, Z: NaN",ES900,Canaan Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,186 Route 102,Canaan,VT,5903,Essex,,,,,802-266-3370,,,2020-03-04T00:00:00.0000000,1,44.91344726,-71.50919996,,73,NO
"X: -8002980.83211002, Y: 5565055.08035931, Z: NaN",ES061,East Haven Drop Off,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,58 Community Building Rd,East Haven,VT,5837,Essex,,,,,802-467-3772,,,2022-05-10T00:00:00.0000000,1,44.64018012,-71.89197642,,75,NO
"X: -7977510.93261652, Y: 5537124.75980896, Z: NaN",ES391,Lunenburg Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,47 Transfer Station Rd,Lunenburg,VT,5906,Essex,,,,,802-892-5959,,,2022-07-13T00:00:00.0000000,1,44.4613775,-71.66322175,,76,NO
"X: -8038814.57619637, Y: 5610366.62971289, Z: NaN",OL080,Newport Drop Off,Yes,Transfer Station,YES,NO,YES,NO,NO,,NO,NO,,651 Coventry Street,Newport,VT,,Orleans,,,,,802-334-2124,,,2022-03-23T00:00:00.0000000,1,44.92905283,-72.21389335,,125,NO
"X: -8028884.87761761, Y: 5618137.38603445, Z: NaN",OL965,Derby Stump Dump,Yes,Transfer Station,NO,NO,NO,NO,NO,,YES,YES,,1008 Beebe Rd,Derby,VT,5829,Orleans,,,,,802-766-4906,,,2021-02-17T00:00:00.0000000,1,44.97850683,-72.12471365,,118,NO
"X: -8015315.03168992, Y: 5616343.54073134, Z: NaN",OL200,Holland Drop Off,Yes,Transfer Station,YES,NO,YES,YES,NO,,NO,NO,,3157 Valley Rd,Holland,VT,5830,Orleans,,,,,802-895-4440,,,2022-03-23T00:00:00.0000000,1,44.96705002,-72.00281137,,121,NO
"X: -8030276.37125253, Y: 5614062.41041654, Z: NaN",OL960,Derby Drop Off,Yes,Transfer Station,YES,NO,NO,YES,YES,,NO,NO,,3427 US Route 5,Derby,VT,5829,Orleans,,,,,802-766-4906,,,2021-02-17T00:00:00.0000000,1,44.95259965,-72.13715311,,117,NO
"X: -8137833.26325699, Y: 5574024.10593928, Z: NaN",FR600,Georgia Recycling Center,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,NO,NO,,158 Morse Dr,Georgia,VT,5454,Franklin,,,,,(802) 524-5986,,,2020-12-21T00:00:00.0000000,1,44.69747,-73.103358,,229,NO
"X: -8140894.5492538, Y: 5562771.1952607, Z: NaN",CH451,Milton Drop Off - CSWD ,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,36 Landfill Road,Milton,VT,5468,Chittenden,,,,,802-872-8100,,,2023-03-23T00:00:00.0000000,1,44.625568,-73.13093495,,61,NO
"X: -8140204.36841089, Y: 5559596.61076043, Z: NaN",CH990,Beaudoin Categorical Disposal Facility,Yes,Transfer Station,NO,NO,NO,NO,NO,,YES,NO,"Also accept stumps, decomposing wood, bituminous concrete, brick, concrete, masonry, mortar, porcela",262 Middle Road,Milton,VT,5446,Chittenden,,,,,(802) 893-4083,beaud1018@gmail.com,,2020-08-14T00:00:00.0000000,1,44.60530162,-73.12471387,,247,YES
"X: -8128204.12730337, Y: 5532244.19819107, Z: NaN",CH611,Richmond Drop Off - CSWD,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,80 Rogers Lane,Richmond,VT,5477,Chittenden,,,,,802-872-8100,,,2023-01-12T00:00:00.0000000,1,44.43008175,-73.01685468,,62,NO
"X: -8134682.92166754, Y: 5515206.12116438, Z: NaN",CH200,Hinesburg Transfer Station - CSWD,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,907 Beecher Hill Road,Hinesburg,VT,5461,Chittenden,,,,,802-872-8100,,,2020-08-07T00:00:00.0000000,1,44.32072582,-73.07511275,,60,NO
"X: -8139592.11121153, Y: 5504693.89985822, Z: NaN",AD302,Monkton Town Drop Off,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,4047 States Prison Hollow Rd,Monkton,VT,5469,Addison,,,,,802-453-3800,,,2019-09-11T00:00:00.0000000,1,44.25312174,-73.11922592,,20,NO
"X: -8075639.06375079, Y: 5523347.41001248, Z: NaN",WA231,Lamoille District Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,YES,NO,NO,,43 Calais Rd,Worcester,VT,5682,Washington,,,,,802-223-6942,,,2022-10-31T00:00:00.0000000,1,44.37300627,-72.54473234,,182,NO
"X: -8016339.17100521, Y: 5575198.71880669, Z: NaN",OL911,Westmore Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,6988 Rt 5A,Westmore,VT,5860,Orleans,,,,,802-525-3007,,,2022-08-03T00:00:00.0000000,1,44.70498591,-72.01198344,,132,NO
"X: -8009604.34181222, Y: 5572599.11326332, Z: NaN",CA511,Newark Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,YES,,NO,YES,,1358 Newark St,Newark,VT,5871,Caledonia,,,,,802-467-3336,,,2021-01-15T00:00:00.0000000,1,44.68839144,-71.95150433,,48,NO
"X: -8015136.92050465, Y: 5549095.54820832, Z: NaN",CA384,NEKWMD Lyndonville Waste Mgmt Facility,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,224 Church Street,Lyndonville,VT,,Caledonia,,,,,802-626-3532,,,2022-09-01T00:00:00.0000000,1,44.53807585,-72.00120807,,47,NO
"X: -8024843.98010182, Y: 5556985.83838088, Z: NaN",CA921,Wheelock/Sheffield Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,Route 122,Wheelock,VT,5851,Caledonia,,,,,802-626-9094,,,2019-09-23T00:00:00.0000000,1,44.5885922,-72.08844957,,53,NO
"X: -8150312.17817492, Y: 5538450.60364566, Z: NaN",CH056,Burlington Drop Off -CSWD,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,339 Pine Street,Burlington,VT,5401,Chittenden,,,,,802-863-3827,,,2020-01-15T00:00:00.0000000,1,44.46987849,-73.21552723,,54,NO
"X: -8145647.89151068, Y: 5539792.24216712, Z: NaN",CH771,South Burlingon Drop Off - CSWD,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,87 Landfill Road,South Burlington ,VT,5403,Chittenden,,,,,802-872-8100,,,2023-01-12T00:00:00.0000000,1,44.47848173,-73.17361472,,65,NO
"X: -8149499.54589213, Y: 5542054.75496824, Z: NaN",N/A,McNeil Wood & Yard Waste Depot,No,Transfer Station,NO,NO,NO,NO,NO,,YES,YES,,111 Intervale Rd,Burlington,VT,5401,Chittenden,,,,,,,,,1,44.49302196,-73.2081527,,55,NO
"X: -8140527.19493419, Y: 5537467.90087336, Z: NaN",CH045,"All Cycle Waste, Inc. Transfer Station",Yes,Transfer Station,YES,YES,NO,NO,NO,YES,YES,NO,,220 Avenue B,Williston,VT,5495,Chittenden,,,,,802-864-3615,,,2023-03-16T00:00:00.0000000,1,44.46355955,-73.12756489,,68,NO
"X: -8097936.35775668, Y: 5516435.41048046, Z: NaN",WA163,Waterbury RTR Center,Yes,Transfer Station,YES,YES,NO,NO,NO,YES,NO,NO,,1 River Road,Waterbury,VT,5676,Washington,,,,,802-244-7689,,,2022-02-18T00:00:00.0000000,1,44.32857155,-72.74499036,,181,NO
"X: -8071364.39530433, Y: 5502766.9346203, Z: NaN",WA111,CV Landfill Transfer Facility,Yes,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,418 U.S. 2,East Montpelier,VT,5651,Washington,,,,,802-651-5454,,,2022-11-15T00:00:00.0000000,1,44.24069501,-72.5062573,,170,NO
"X: -8075728.11934342, Y: 5503031.09131246, Z: NaN",WA444,Montpelier Drop-Off & Recycling (Casella),Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,378 East Montpelier Road,Montpelier,VT,5602,Washington,,,,,802-223-7221,,,2019-11-05T00:00:00.0000000,1,44.242415,-72.545473,,174,NO
"X: -8068481.22049278, Y: 5491927.55412329, Z: NaN",WA080,Wilson Industrial Park,Yes,Transfer Station,YES,YES,NO,NO,NO,,NO,NO,,109 Pitman Rd,Barre Town,VT,0,Washington,,,,,802-775-7722,,,2021-09-02T00:00:00.0000000,1,44.17093794,-72.48036135,,164,NO
"X: -8088184.77036319, Y: 5490422.23756141, Z: NaN",WA561,Northfield Transfer Station & Recycling Depot,Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,69 Dog River Rd,Northfield,VT,5663,Washington,,,,,802-485-6121,,,2022-10-31T00:00:00.0000000,1,44.16123711,-72.65743375,,176,NO
"X: -8107676.8132011, Y: 5490391.2027108, Z: NaN",WA921,"Waitsfield Transfer Station, Inc.",Yes,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,6911 Main Street,Waitsfield,VT,5673,Washington,,,,,802-223-7221,,,2021-12-22T00:00:00.0000000,1,44.160995,-72.832504,,179,NO
"X: -8136553.08911287, Y: 5456223.57378536, Z: NaN",AD719,Salisbury Recycling and Landfill,Yes,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,1301 Upper Plains Rd,Salisbury,VT,5769,Addison,,,,,802-352-4228,,,,1,43.9403588,-73.09186935,,236,NO
"X: -8075561.14010724, Y: 5481984.63200513, Z: NaN",OG941,Williamstown Trash Depot,Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,YES,,2470 VT Rt 14,Williamstown,VT,5679,Orange,PO Box 646,Williamstown,VT,5679,802-8390-0064 or 802-476-5735,,http://williamstownvt.org/transfer-station/,2020-01-29T00:00:00.0000000,1,44.10678323,-72.54398083,,110,NO
"X: -8033860.85885607, Y: 5519703.94684134, Z: NaN",CA571,Peacham Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,750 E Peacham Rd,Peacham,VT,5862,Caledonia,,,,,802-592-3218,,,2023-03-03T00:00:00.0000000,1,44.34963555,-72.16937667,,49,NO
"X: -8017697.26879289, Y: 5529111.41365277, Z: NaN",CA721,St. Johnsbury Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,548 High Street,St. Johnsbury,VT,5819,Caledonia,,,,,,,,2022-07-13T00:00:00.0000000,1,44.4099544,-72.0242111,,51,NO
"X: -8001377.8314426, Y: 5534582.79916375, Z: NaN",ES101,Concord Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,100 Brook Rd,Concord,VT,5824,Essex,,,,,802-695-2220,,,2021-01-15T00:00:00.0000000,1,44.44509793,-71.8775636,,74,NO
"X: -8009849.24469197, Y: 5524188.41592345, Z: NaN",CA051,Waterford Transfer Station & Recycling Center,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,2727 Duck Pond Rd,Waterford,VT,5848,Caledonia,,,,,8002-748-2122,,,2023-03-03T00:00:00.0000000,1,44.37839906,-71.95367871,,52,NO
"X: -8019044.23463149, Y: 5522163.9034249, Z: NaN",CA071,Barnet Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,900 Town Forest Road,Barnet,VT,5821,Caledonia,P.O. Box 15,Barnet,VT,5821,802-633-2256,,http://www.barnetvt.org/transferstation.php,2021-01-15T00:00:00.0000000,1,44.36543416,-72.03631282,,39,NO
"X: -8022172.31232278, Y: 5496553.68419151, Z: NaN",CA040,Ryegate/Groton Recycling & Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,269 School Street,Ryegate,VT,5042,Caledonia,,,,,802-584-3880,,,2023-03-03T00:00:00.0000000,1,44.20070781,-72.06440841,,50,NO
"X: -8064239.94789356, Y: 5468104.30886468, Z: NaN",OG131,Chelsea Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,YES,,NO,NO,,72 Washington Turnpike,Chelsea,VT,5038,Orange,,,,,802-685-4460,,,2023-02-28T00:00:00.0000000,1,44.01716173,-72.44230807,,99,NO
"X: -8050981.79654008, Y: 5460878.12472573, Z: NaN",OG011,Vershire Drop Off,Yes,Transfer Station,YES,YES,NO,NO,NO,,NO,NO,,6894 Rt 113,Vershire,VT,5079,Orange,,,,,802-685-2227,,,,1,43.97048896,-72.32322851,,108,NO
"X: -8032280.12208681, Y: 5450196.26341773, Z: NaN",OG950,Fairlee Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,YES,,NO,NO,,Dump Rd,Fairlee,VT,5045,Orange,,,,,802-333-9653,,,2023-02-28T00:00:00.0000000,1,43.90135906,-72.15523533,,102,NO
"X: -8145402.98863093, Y: 5469482.10722132, Z: NaN",AD002,"Casella Waste Management, Inc.",Yes,Transfer Station,YES,NO,NO,NO,NO,,NO,NO,,533 Exchange St,Middlebury,VT,5753,Addison,,,,,802-223-7221,,,2021-04-02T00:00:00.0000000,1,44.02605707,-73.17138547,,18,NO
"X: -8141985.48026358, Y: 5464513.71644823, Z: NaN",AD401,Addison SWMD Full Service Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,1223 Route 7 South,Middlebury,VT,5753,Addison,,,,,802-388-2333,,,2021-12-02T00:00:00.0000000,1,43.99404651,-73.1407103,,19,YES
"X: -8137310.06165026, Y: 5433649.19852213, Z: NaN",RU081,Brandon Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Corona St,Brandon,VT,,Rutland,,,,,,,,2021-07-20T00:00:00.0000000,1,43.79415638,-73.09867231,,137,NO
"X: -8160486.77963343, Y: 5431999.20966291, Z: NaN",N/A,Seguin Services LLC,No,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,334 Rt 22A,Orwell,VT,5760,Addison,,,,,,,https://www.facebook.com/SeguinServicesLLC/,,1,43.78349811,-73.30693956,,22,NO
"X: -8160909.79369843, Y: 5420041.76166142, Z: NaN",RU061,Benson Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,2549 Stage Road,Benson,VT,5731,Rutland,,,,,802-537-2611,,,2020-10-14T00:00:00.0000000,1,43.70585115,-73.3106888,,135,NO
"X: -8157314.17414582, Y: 5402488.07576544, Z: NaN",RU033,Fair Haven Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,"Tires, Used Waste Oil, Scrap Metal, Household and Automobile Batteries",175 Fair Haven Avenue,Fair Haven,VT,5743,Rutland,3 North Park Place,Fair Haven,VT,5743,802-265-8291,,http://fairhavenvt.org/?page_id=34,2022-09-14T00:00:00.0000000,1,43.59179138,-73.27840626,,144,NO
"X: -8152282.53316196, Y: 5378373.42925496, Z: NaN",RU921,Wells Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,174 Bullfrog Hollow Road,Wells,VT,5774,Rutland,,,,,802-645-0486,,,2022-09-21T00:00:00.0000000,1,43.43468691,-73.23315717,,161,NO
"X: -8149121.05962343, Y: 5392503.04482395, Z: NaN",RU581,Poultney Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Hillside Drive,Poultney,VT,5764,Rutland,,,,,802-287-9751,,,2020-12-22T00:00:00.0000000,1,43.52684523,-73.20478956,,151,NO
"X: -8146171.09311741, Y: 5403917.58475943, Z: NaN",RU101,Castleton Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Staso Road,Castleton,VT,5735,Rutland,,,,,802-468-5319,,,2020-07-14T00:00:00.0000000,1,43.60106399,-73.17832319,,139,NO
"X: -8139480.79172073, Y: 5386302.38545958, Z: NaN",RU311,Middletown Springs Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,Firehouse Lane,Middletown Springs,VT,5757,Rutland,,,,,802-235-2220,,,2023-05-03T00:00:00.0000000,1,43.48639799,-73.11822643,,146,NO
"X: -8130040.89890146, Y: 5420488.34641648, Z: NaN",RU461,Pittsford Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,Depot Hill Rd,Pittsford,VT,5763,Rutland,,,,,802-483-6500,,,2020-12-22T00:00:00.0000000,1,43.70875293,-73.03344093,,150,NO
"X: -8129039.02348432, Y: 5414284.29307155, Z: NaN",RU601,Proctor Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,Deere Lane,Proctor,VT,5765,Rutland,,,,,802-459-3333,,,2019-01-23T00:00:00.0000000,1,43.66850799,-73.02436888,,152,NO
"X: -8121447.03421222, Y: 5420457.54677419, Z: NaN",RU141,Chittenden Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,300 Holden Rd,Chittenden,VT,5737,Rutland,,,,,802-483-6647,,,2020-12-22T00:00:00.0000000,1,43.70855519,-72.95617104,,140,NO
"X: -8125131.70935748, Y: 5405178.19536587, Z: NaN",RU999,East Coast Rubbish Removal,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,37 Water Street,Rutland,VT,,Rutland,,,,,802-353-6118,,,2019-01-23T00:00:00.0000000,1,43.60930091,-72.9893346,,153,NO
"X: -8120912.70065641, Y: 5406961.79173824, Z: NaN",RU623,Rutland County Solid Waste District T.S.,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,14 Gleason Road,Rutland City,VT,5701,Rutland,,,,,802-775-7209,,,2022-10-13T00:00:00.0000000,1,43.62090043,-72.95135624,,155,YES
"X: -8105661.93041774, Y: 5418902.29845564, Z: NaN",RU761,Killington Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,River Road,Killington,VT,5751,Rutland,,,,,802-422-3241,,,2021-06-30T00:00:00.0000000,1,43.69848757,-72.81442383,,145,NO
"X: -8086960.25596447, Y: 5420965.75401464, Z: NaN",WS051,Barnard Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,NO,,NO,NO,,Chateauguay Road,Barnard,VT,5031,Windsor,,,,,802-234-9211,,,2021-06-30T00:00:00.0000000,1,43.71187718,-72.64637875,,207,NO
"X: -8079223.55135433, Y: 5439048.42307814, Z: NaN",WS061,Bethel/Royalton Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,122 Waterman Road,Royalton,VT,5068,Windsor,P.O. Box 680,South Royalton,VT,5068,802-234-9340,,http://royaltonvt.com/about-royalton/transfer-station/,2019-12-17T00:00:00.0000000,1,43.82915556,-72.5769335,,216,NO
"X: -8071375.52725341, Y: 5442644.5195786, Z: NaN",OG841,Tunbridge Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,Rt 110,Tunbridge,VT,5077,Orange,,,,,802-889-5521,,,2020-09-30T00:00:00.0000000,1,43.85248312,-72.50637932,,107,NO
"X: -8051282.35916522, Y: 5435006.42011761, Z: NaN",WS511,Norwich Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,24 New Boston Road,Norwich,VT,5055,Windsor,,,,,802-649-2209,,,2021-07-06T00:00:00.0000000,1,43.80298568,-72.32591676,,213,NO
