X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
509343.0348,109573.2038,16,PRICE CHOPPER STORE #177,0.72,Food Establishment,Grocery,,2725 US ROUTE 5 N,WINDSOR,WINDSOR,5089,8026743470,http://www.pricechopper.com/,,1
507854.478,109693.5115,18,MOUNT ASCUTNEY HOSPITAL & HEALTH CTR,0.3465,Food Establishment,Hospital,,289 COUNTY RD,WINDSOR,WINDSOR,5089,8026746711,,,1
507854.478,109693.5115,19,MT ASCUTNEY HOSPITAL,0.18375,Hospital,,,289 COUNTY ROAD,WINDSOR,WINDSOR,5089,(802) 674-6711,,,1
507891.4059,112693.2194,20,AMERICAN CRAFTED SPIRITS INCORPORATED,0.2625,Food Establishment,Restaurant,,3 ARTISANS WAY,WINDSOR,WINDSOR,5031,3392220987,,,1
508394.6165,111160.6644,21,BOSTON DREAMS CATERING LLC,0.05,Food Establishment,Home-based Business,,321 TAYLOR DR,WINDSOR,WINDSOR,5089,823592619,,,1
507956.2867,112526.6474,22,HARPOON BREWERY,1.8375,Food Establishment,Restaurant,,336 RUTH CARNEY DR,WINDSOR,WINDSOR,5089,8026745491,,,1
509295.0055,109206.5124,23,NIDAS,0.05,Food Establishment,Home-based Business,,35 N MAIN ST,WINDSOR,WINDSOR,5089,8026742301,,,1
509181.9019,109095.2589,24,HISTORIC HOMES OF RUNNEMEDE - EVARTS HOUSE,0.0735,Nursing/Assisted Living,Residential Facility,,40 MAXWELL PERKINS LANE,WINDSOR,WINDSOR,5089,(802) 674-6733,http://www.hhronline.org/EvartsHouse.htm,,1
508996.0743,108917.2508,25,DAVIS HOME,0.0945,Nursing/Assisted Living,Residential Facility,,45 STATE STREET,WINDSOR,WINDSOR,5089,805-674-5300,,,1
509222.4117,109050.8749,26,HISTORIC HOMES OF RUNNEMEDE-STOUGHTON HOUSE,0.16275,Nursing/Assisted Living,Residential Facility,,46 MAIN STREET,WINDSOR,WINDSOR,5089,,,,1
508298.4921,103839.1828,27,CEDAR HILL HEALTH CARE CENTER,0.20475,Nursing/Assisted Living,Residential Facility,,49 CEDAR HILL DRIVE,WINDSOR,WINDSOR,5089,(802) 674-6609,http://www.cedarhillccc.com/,,1
508298.4921,103839.1828,28,VICTORIAN HOUSE RESIDENCE AT CEDAR HILL,0.07875,Nursing/Assisted Living,Residential Facility,,49 CEDAR HILL DRIVE,WINDSOR,WINDSOR,5089,,,,1
510273.129,120262.3264,29,MR G'S TWIN STATE DISCOUNT,0.72,Food Establishment,Grocery,,54 US ROUTE 5,WINDSOR,WINDSOR,5089,,,,1
505952.203,111213.6109,30,SOUTHEAST STATE CORRECTIONAL FACILITY,0.525,Correctional Facility,,,546 STATE FARM ROAD,WINDSOR,WINDSOR,5089,,,,1
509262.9525,108984.2715,31,FLEMING OIL COMPANY,0.18,Food Establishment,Grocery,,55 MAIN ST,WINDSOR,WINDSOR,5089,(802) 674-2834,,,1
509157.9346,108873.0296,32,BOSTON DREAMS LLC,0.105,Food Establishment,Restaurant,,7 STATE ST,WINDSOR,WINDSOR,5089,8022304107,,,1
509190.2342,108917.5129,33,CLARAS CAFE,0.26,Food Establishment,Restaurant,,70 MAIN ST,WINDSOR,WINDSOR,5089,(802) 674-2542,,,1
509190.2342,108917.5129,34,CROW BAR & GRILL,0.26,Food Establishment,Restaurant,,70 MAIN ST,WINDSOR,WINDSOR,5089,8026744310,,https://www.facebook.com/pages/category/American-Restaurant/Crow-Bar-and-Grill-1452975738364372/,1
507899.6479,112559.9104,35,SUSTAINABLE FARMER THE,0.525,Food Establishment,Restaurant,,71 ARTISANS WAY,WINDSOR,WINDSOR,5089,,,,1
509270.5225,109362.0165,36,YUMMY YUMMY CHINESE RESTAURANT,0.441,Food Establishment,Restaurant,,74 MAIN ST,WINDSOR,WINDSOR,5089,8026746888,,,1
509157.98,108839.7001,37,PIZZA CHEF OF WINDSOR,0.966,Food Establishment,Restaurant,,88 MAIN ST,WINDSOR,WINDSOR,5089,8026746861,http://www.pizzachef.com/,,1
508274.0676,103950.2503,38,VILLAGE AT CEDAR HILL,0.1155,Nursing/Assisted Living,Residential Facility,,92 CEDAR HILL DRIVE,WINDSOR,WINDSOR,5089,(802) 674-2254,,,1
507998.6865,104049.9058,39,MACLENNAN FARMS,0.18,Food Establishment,Grocery,Farmers' Market,RR 5,WINDSOR,WINDSOR,5089,,,,1
495684.5055,116022.9497,41,SOUTH WOODSTOCK COUNTRY STORE,0.1155,Food Establishment,Restaurant,,4800 SOUTH RD,WOODSTOCK,WINDSOR,5071,8023913099,,,1
496480.6723,123999.4739,42,WOODSTOCK THERAPEUTIC COMMUNITY RESIDENCE,0.042,Nursing/Assisted Living,Residential Facility,,1087 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,5091,(802) 457-1845,,,1
498031.1404,126287.5198,43,MOUNT TOM FARMERS' MARKET,0.18,Food Establishment,Grocery,Farmers' Market,1206 VERMONT 12,WOODSTOCK,WINDSOR,5091,,http://www.mttomfarmersmarket.com/,,1
498474.5968,124776.4297,45,RED ROOSTER,0.26,Food Establishment,Restaurant,,14 THE GREEN,WOODSTOCK,WINDSOR,5091,(802) 457-1100,http://www.woodstockinn.com/Dining,,1
498474.5968,124776.4297,46,WOODSTOCK INN,3.15,Food Establishment,Lodging,,14 THE GREEN,WOODSTOCK,WINDSOR,5091,8024571100,,,1
498409.9979,124643.1236,47,WOODSTOCK ELEMENTARY SCHOOL,0.10057,Food Establishment,School,,15 SOUTH ST,WOODSTOCK,WINDSOR,5091,8024572522,,,1
498490.7962,125031.9582,48,F.H. GILLINGHAM & SONS GENERAL STORE,0.18,Food Establishment,Grocery,,16 ELM STREET,WOODSTOCK,WINDSOR,5091,,http://www.gillinghams.com/,https://www.facebook.com/pages/F-H-Gillingham-Sons/143774638973661?ref=sgm,1
498498.8718,125054.1766,49,VILLAGE BUTCHER,0.18,Food Establishment,Convenience Store,,18 ELM ST,WOODSTOCK,WINDSOR,5091,8024572756,https://www.villagebutchervt.com/,,1
498862.065,125154.096,50,CHARLESTON HOUSE,0.189,Food Establishment,B&B,,21 PLEASANT ST,WOODSTOCK,WINDSOR,5091,8024573843,,,1
498490.8037,125065.2885,52,PRINCE AND THE PAUPER,0.735,Food Establishment,Restaurant,,24 ELM ST,WOODSTOCK,WINDSOR,5091,,http://www.princeandpauper.com/,https://www.facebook.com/PrinceandthePauper,1
498523.0762,125020.8409,55,BENTLEYS RESTAURANT,1.47,Food Establishment,Restaurant,,3 ELM ST,WOODSTOCK,WINDSOR,5091,8024573232,http://www.bentleysrestaurant.com/,,1
498482.6099,124520.8958,57,1830 SHIRE TOWN INN THE,0.105,Food Establishment,Restaurant,,31 SOUTH ST,WOODSTOCK,WINDSOR,5091,(802) 457-1830,,,1
498555.3515,124987.5036,58,MOUNTAIN CREAMERY,0.4725,Food Establishment,Restaurant,,33 CENTRAL ST,WOODSTOCK,WINDSOR,5091,8024571715,http://www.mountaincreameryvt.com/,,1
499047.6793,125109.6266,59,MAC'S WOODSTOCK MARKET,0.72,Food Establishment,Bakery,,37 PLEASANT ST,WOODSTOCK,WINDSOR,5091,8027757707,,,1
499515.7916,125420.6593,60,TAFTSVILLE COUNTRY STORE,0.18,Food Establishment,Grocery,,404 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,5073,,http://www.taftsville.com/,,1
499096.1068,125142.9502,61,VILLAGE INN OF WOODSTOCK,0.735,Food Establishment,B&B,,41 PLEASANT ST,WOODSTOCK,WINDSOR,5091,8029928230,,,1
499136.4606,125154.055,62,CANTERBURY HOUSE BED & BREAKFAST,0.168,Food Establishment,Restaurant,,43 PLEASANT ST,WOODSTOCK,WINDSOR,5091,(802) 457-3077,,,1
496012.2405,123555.333,63,THE JACKSON HOUSE INN,0.4725,Food Establishment,B&B,,43 SENIOR  LN,WOODSTOCK,WINDSOR,5091,8024572065,,,1
499418.9364,125265.1256,64,Cumberland Farms,0.26,Food Establishment,Convenience Store,,433 WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8024579147,http://www.cumberlandfarms.com/,,1
499685.2833,125820.613,67,WORTHY KITCHEN,0.05,Food Establishment,Restaurant,,442 WOODSTOCK RD,WOODSTOCK,WINDSOR,5031,8022990128,,,1
491869.0181,121837.0159,68,DEER BROOK INN,0.105,Food Establishment,B&B,,4548 W WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8026723713,,,1
499572.2854,125465.0959,70,WOODSTOCK TERRACE,0.2205,Nursing/Assisted Living,Residential Facility,,456 WOODSTOCK ROAD EAST,WOODSTOCK,WINDSOR,5091,(802) 457-2228,,,1
491739.8404,121848.2837,71,WHITE COTTAGE SNACK BAR,1.029,Food Establishment,Restaurant,,462 WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8024573455,,https://www.facebook.com/pages/White-Cottage-Snack-Bar/115706228485281,1
497342.1435,118399.6214,72,KEDRON VALLEY INN,1.0185,Food Establishment,B&B,,4778 SOUTH RD,SOUTH WOODSTOCK,WINDSOR,5071,8024571473,http://www.kedronvalleyinn.com/,,1
498611.853,125020.822,73,PI BRICK OVEN TRATTORIA,0.315,Food Establishment,Restaurant,,49 CENTRAL STREET,WOODSTOCK,WINDSOR,5091,,,,1
494260.0759,123023.3204,74,WOODSTOCK CHEESECAKE COMPANY,0.13,Food Establishment,Bakery,,492 WESTERDALE ROAD,WOODSTOCK,WINDSOR,5091,(802) 457-4594,,,1
502437.0571,125765.4983,75,WOODSTOCK SR. UHSD 4,0.0665,School,School,,4961 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,5091,(802) 457-1317,,,1
502437.0571,125765.4983,76,WOODSTOCK UNION MIDDLE SCHOOL,0.05256,School,School,,4961 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,5091,(802) 457-1330,,,1
491133.3026,121126.9044,77,FARMHOUSE INN AT ROBINSON FARM,0.189,Food Establishment,Lodging,,5250 WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8026725433,http://www.farmhouseinnvt.com/,,1
499661.0749,125831.7243,78,LINCOLN INN & REST AT THE COVERED BRIDGE,0.6615,Food Establishment,Lodging,,2709 W WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8022812094,http://www.lincolninn.com/,,1
499192.9619,125220.7086,79,HEART ROCK KITCHEN,0.05,Food Establishment,Restaurant,,21710 Maxham Meadow Way STE 101D,WOODSTOCK,WINDSOR,5091,8022991560,,,1
490486.6158,120661.168,81,WOODBRIDGE INN OF WOODSTOCK,0.126,Food Establishment,B&B,,5763 W WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8023960077,,,1
498700.6407,125076.3547,83,THE DAILY CATCH,,Food Establishment,Restaurant,Bread/related products,61 CENTRAL ST,WOODSTOCK,WINDSOR,5091,6177192588,,,1
499314.0097,125142.9244,86,ANGKOR WAT,0.126,Food Establishment,Restaurant,,61 PLEASANT ST,WOODSTOCK,WINDSOR,5091,8024579029,,,1
497828.8912,124676.6169,87,THE WOODSTOCKER B & B,0.189,Food Establishment,B&B,,61 RIVER ST,WOODSTOCK,WINDSOR,5091,8024573896,,,1
499467.3566,125242.9013,88,PIZZA CHEF OF WOODSTOCK,0.525,Food Establishment,Restaurant,,450 WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8024571444,http://www.pizzachef.com/,,1
498611.8876,125187.4734,89,MAPLEFIELDS AT WOODSTOCK,0.21,Food Establishment,Restaurant,,66 PLEASANT ST,WOODSTOCK,WINDSOR,5091,8025248710,,,1
498603.7871,125043.0438,90,MON VERT CAFE,0.1575,Food Establishment,Restaurant,,28 Central  ST,WOODSTOCK,WINDSOR,5091,8024577143,,,1
498740.9976,125098.5671,91,MELAZA CARIBBEAN BISTRO,0.8085,Food Establishment,Restaurant,,71 CENTRAL ST,WOODSTOCK,WINDSOR,5037,8023458977,,,1
498773.2838,125120.7814,93,WILLIAM WINAND CHOCOLATIER,0.603636177,Food Manufacturer,Sweets,,73 CENTRAL ST,WOODSTOCK,WINDSOR,5091,(802) 457-3688,,,1
497748.1659,124632.2032,94,HOMESTEAD,0.12075,Nursing/Assisted Living,Residential Facility,,73 RIVER STREET,WOODSTOCK,WINDSOR,5091,(802) 457-1310,,,1
497748.1659,124632.2032,95,MERTENS HOUSE,0.0735,Nursing/Assisted Living,Residential Facility,,73 RIVER STREET,WOODSTOCK,WINDSOR,5091,,,,1
496609.85,124054.9577,96,WOODSTOCK FARMERS' MARKET,0.18,Food Establishment,Bakery,,979 W WOODSTOCK RD,WOODSTOCK,WINDSOR,5091,8024573658,http://www.woodstockfarmersmarket.com/,https://www.facebook.com/pages/Woodstock-Farmers-Market/125860250802597,1
497948.0684,118499.3988,97,KEDRON SUGAR MAKERS,,Food Manufacturer,Sweets,,P.O. BOX 111,WOODSTOCK,WINDSOR,5091,(802) 4573-015,,,1
496067.5424,121499.9399,98,MAPLE CREST FARM,0,Food Manufacturer,Food Processor,,P.O. BOX 733,WOODSTOCK,WINDSOR,5091,(802) 4571-882,,,1
487206.9687,158030.8614,100,SWEET SERENITY BED & BREAKFAST,0.063,Food Establishment,Restaurant,,40 RANDOLPH AV,RANDOLPH,ORANGE,5060,(802) 728-9590,,,1
486723.899,157420.7213,101,GIFFORD MEDICAL CENTER,0.273,Food Establishment,Hospital,,44 SOUTH MAIN ST,RANDOLPH,ORANGE,5060,8027282283,,,1
486723.899,157420.7213,102,MENIG EXTENDED CARE,0.1575,Nursing/Assisted Living,Residential Facility,,44 SOUTH MAIN STREET,RANDOLPH,ORANGE,5060,,,,1
486741.1168,157998.4441,103,PERFECT PEAR CAFE,0.26,Food Establishment,Restaurant,,48 MAIN STREET,RANDOLPH,ORANGE,5060,(802) 222-5912,http://theperfectpearcafe.com/,,1
487359.7017,158108.3436,104,MONTAGUE GOLF CLUB,0.525,Food Establishment,Restaurant,,48 RANDOLPH AVE,RANDOLPH,ORANGE,5060,8022910993,,,1
487263.1415,158008.5319,105,GOLF COURSE,0.13,Food Establishment,Restaurant,Bars/Pubs,50 RANDOLPH AV,RANDOLPH,ORANGE,5060,,,,1
487263.1415,158008.5319,106,SAAP,1.05,Food Establishment,Restaurant,,50 RANDOLPH AVE,RANDOLPH,ORANGE,5060,8025225262,,,1
487133.7435,157542.1316,107,PLEASANT STREET HOME,0.01575,Nursing/Assisted Living,Residential Facility,,59 SOUTH PLEASANT STREET,RANDOLPH,ORANGE,5060,,,,1
488202.489,157862.3554,108,THREE STALLION INN,1.68,Food Establishment,Restaurant,,665 STOCK FARM ROAD,RANDOLPH,ORANGE,5060,(802) 728-5575,http://www.threestallioninn.com,,1
486718.1813,158576.2478,109,Cumberland Farms,0.18,Food Establishment,Convenience Store,,7 CENTRAL ST,RANDOLPH,ORANGE,5060,5082701504,http://www.cumberlandfarms.com/,,1
486885.2762,157798.1646,110,SHADY MAPLES,0.063,Food Establishment,Restaurant,,8 PROSPECT AV,RANDOLPH,ORANGE,5060,(802) 728-9923,,,1
485998.0046,159777.6899,111,LELAK AND TOMASKO BAKERY,0.13,Food Establishment,Bakery,,804 PARTRIDGE HILL RD,RANDOLPH,ORANGE,5060,(802) 728-6657,,,1
487395.6558,155897.246,112,RANDOLPH FARM STAND,0.18,Food Establishment,Grocery,Farmers' Market,839 ROUTE 12 SOUTH,RANDOLPH,ORANGE,5060,,,,1
487395.6558,155897.246,113,CHEFS MARKET,0.05,Food Establishment,Restaurant,,2 Salisbury  ST,RANDOLPH,ORANGE,5060,8027284202,,,1
489957.1815,160459.3758,115,RINKERS SNAK SHOP,0.18,Food Establishment,Grocery,,EXIT 4 I89 - 1917 VT ROUTE 66,RANDOLPH,ORANGE,5060,,,,1
511034.3649,148305.9081,116,CAFE 232 LLC,0.147,Food Establishment,Restaurant,,232 ROUTE 132,SOUTH STRAFFORD,ORANGE,5070,,,,1
511227.5171,148228.4574,117,COBURN'S GENERAL STORE,0.18,Food Establishment,Grocery,,216 VT ROUTE 132,STRAFFORD,ORANGE,5070,,http://www.vaics.org/stores?store=40,,1
511078.0054,155894.5231,118,MINDYS MAPLE FARM,,Food Manufacturer,Food Processor,,38 KENDALL RD,STRAFFORD,ORANGE,5072,(802) 7654-219,,,1
506889.3252,151322.3929,119,STRAFFORD ORGANIC CREAMERY,,Food Manufacturer,Dairy,Creamery,61 ROCKBOTTOM RD,STRAFFORD,ORANGE,5072,(802) 7654-180,,,1
509822.8947,151748.283,120,STONE SOUP,0.2625,Food Establishment,Restaurant,,7 BROOK RD,STRAFFORD,ORANGE,5072,8027654301,,,1
510801.1132,148316.6358,121,NEWTON ELEMENTARY,0.075145,Food Establishment,School,,243 VT ROUTE 132,STRAFFORD,ORANGE,5072,8027654351,,,1
523631.2745,147694.307,122,BAREFOOT GOURMET LTD,0.05,Food Establishment,Home-based Business,,1255 LATHAM RD,THETFORD,ORANGE,5043,8022812130,http://barefoot-gourmet.com/,,1
525045.7945,145855.1139,125,ISABELLS CAFE,0.4515,Food Establishment,Restaurant,,3052 ROUTE 5,THETFORD,ORANGE,5074,8023334732,,,1
524997.4378,145877.1534,126,WINGS MARKETS,0.72,Food Establishment,Convenience Store,,3073 VT ROUTE 5,THETFORD,ORANGE,5043,8027852163,,https://www.facebook.com/pages/Wings-Supermarkets/141265545914310,1
525009.7139,149032.6251,127,HUGGETTS MART,0.18,Food Establishment,Convenience Store,,2930 ROUTE 5,THETFORD,ORANGE,5043,8027852116,,,1
519190.0255,153713.0972,128,BAKERS STORE,0.05,Food Establishment,Caterer,,7788 VT ROUTE 113,THETFORD,ORANGE,5058,8027852539,,http://www.facebook.com/pages/Bakers-General-Store/184586938420,1
520977.7835,147429.8694,130,CAMP FARNSWORTH,1.575,Food Establishment,Camp,,128 Camp Farnsworth Road,Fairlee,ORANGE,5045,,,,1
521486.4239,154308.9973,131,CAMP BILLINGS,0.92925,Food Establishment,Camp,,LAKE FAIRLEE,THETFORD,ORANGE,5672,,,,1
521567.5605,146631.791,133,THETFORD ELEMENTARY,0.11865,Food Establishment,School,,2689 ROUTE 113,THETFORD,ORANGE,5074,8027852426,,,1
521625.7132,146065.3395,134,THETFORD ACADEMY,0.11865,Food Establishment,School,,304 ACADEMY RD,THETFORD,ORANGE,5074,8027854805,,,1
530890.4235,164112.6045,139,RED KITE CANDY,0,Food Manufacturer,Sweets,,226 INDUSTRIAL DR UNIT B,BRADFORD,ORANGE,5033,8024493400,,,1
518740.7709,144878.8761,140,POST AND BEAM BAKERY,0.13,Food Establishment,Home-based Business,,582 ROUTE 132,THETFORD,ORANGE,5075,8027852842,,,1
522915.9904,184580.1801,142,VERMONT CAKES SPECIALTY CAKES BY CHRISTINE,0.13,Food Establishment,Bakery,,10 CLARK RD,TOPSHAM,ORANGE,5076,(802) 584-3437,,,1
517329.7443,176663.0623,143,WAITS RIVER COUNTRY STORE & DELI,0.18,Food Establishment,Convenience Store,,149 VT ROUTE 25,TOPSHAM,ORANGE,5086,8024399510,http://vaics.org/stores?store=43,,1
515248.9356,179546.8058,144,WEST TOPSHAM COUNTRY STORE,0.18,Food Establishment,Grocery,,486 ROUTE 25,TOPSHAM,ORANGE,5076,(802) 439-6400,,,1
519118.8903,175523.5645,145,WAITS RIVER VALLEY #36,0.105555,Food Establishment,School,,6 WAITS RIVER VALLEY RD,EAST CORINTH,ORANGE,5076,8024395534,,,1
501677.6426,161140.8447,146,COUNTRY CATERING BY LOIS,0.05,Food Establishment,Caterer,,116 HANSON RD,TUNBRIDGE,ORANGE,5077,(802) 889-5679,,,1
500699.0533,154452.0446,148,TUNBRIDGE STORE ,0.18,Food Establishment,Convenience Store,,304 VT ROUTE 110,TUNBRIDGE,ORANGE,5077,802-889-5525,,,1
501694.7384,157063.2238,149,NORTH TUNBRIDGE GENERAL STORE,0.055,Food Establishment,Caterer,,494 ROUTE 110,TUNBRIDGE,ORANGE,5038,(802) 889-3312,,,1
502023.9393,157418.8572,150,TUNBRIDGE CENTRAL SCHOOL,0.05394,Food Establishment,School,,523 VT ROUTE 110,TUNBRIDGE,ORANGE,5077,8028893310,,,1
502569.1303,159874.5081,151,WELLSPRING FOOD COMMITTEE,0.05,Food Establishment,Caterer,,693 VT ROUTE 110,TUNBRIDGE,ORANGE,5077,,,,1
510658.7721,166804.607,152,VERSHIRE RIDING SCHOOL,0.34125,Food Establishment,Camp,,336 VERSHIRE RIDING SCHOOL RD,VERSHIRE,ORANGE,5079,,,,1
510148.4815,164848.2966,153,MOUNTAIN VIEW OF VERSHIRE,0.042,Nursing/Assisted Living,Residential Facility,,397 MCIVER ROAD,VERSHIRE,ORANGE,5079,(802) 685-2238,,,1
508376.0237,170767.908,155,VERMONT GRAND VIEW FARM,0.063,Food Establishment,B&B,,1638 SCALES HILL RD,WASHINGTON,ORANGE,5675,8026854693,,,1
505331.8968,178575.766,157,ROBERTS COUNTRY STORE,0.05,Food Establishment,Convenience Store,,2980 VT RT 110,WASHINGTON,ORANGE,5679,8022492482,,,1
502611.8031,173785.2871,158,WASHINGTON VILLAGE SCHOOL,0.041385,Food Establishment,School,,72 SCHOOL LN,WASHINGTON,ORANGE,5675,802-888-2312,,,1
533138.7102,184523.7333,159,BURNHAM MILLS,,Food Manufacturer,Food Processor,,1538 INDUSTRIAL PARK ROAD,WELLS RIVER,ORANGE,5081,,,,1
532785.8801,184699.7482,160,P & H TRUCK STOP #451,1.2075,Food Establishment,Convenience Store,,2886 US ROUTE 302,WELLS RIVER,Orange,5081,8024292141,,,1
533566.3172,182236.9491,161,GARGOYLE HOUSE,0.063,Food Establishment,Lodging,,3351 WALLACE HILL RD,NEWBURY,ORANGE,5081,8024292341,,,1
519003.3708,157156.8853,162,B & B CASH MARKET,0.05,Food Establishment,Caterer,,107 VT ROUTE 113,WEST FAIRLEE,ORANGE,5074,8027852539,,,1
522072.5218,154455.3591,163,D & G CATERERS,0.05,Food Establishment,Caterer,,430 VT ROUTE 244,WEST FAIRLEE,ORANGE,5043,,,,1
525954.9316,164358.0789,164,COYOTE HILL MOUNTAIN BIKE CAMP,0.105,Food Establishment,Camp,,KIDDERHOOD ROAD,WEST FAIRLEE,ORANGE,5033,,,,1
522577.1489,154923.7071,165,ALOHA HIVE,0.97125,Food Establishment,Camp,,LAKE FAIRLEE,WEST FAIRLEE,ORANGE,5045,,,,1
521598.0149,154587.1277,166,SUMMER HORIZONS,0.44625,Food Establishment,Camp,,"LAKE FAIRLEE, RT 244",WEST FAIRLEE,ORANGE,5045,,,,1
519190.3526,156379.6709,167,WESTSHIRE ELEMENTARY SCHOOL,0.055935,Food Establishment,School,,744 VERMONT 113,WEST FAIRLEE,ORANGE,5083,8023334668,,,1
530353.5367,176176.8092,168,FARWELL CAMP,0.86625,Food Establishment,Camp,,HALLS LAKE,WEST NEWBURY,ORANGE,5051,,,,1
516102.2644,177571.0593,169,LIMLAW FAMILY MAPLE FARM LLC,0.21,Food Establishment,Restaurant,,246 VT ROUTE 25,TOPSHAM,ORANGE,5086,8024395995,,,1
515248.9356,179546.8058,170,GRAMP'S COUNTRY STORE,0.05,Food Establishment,Convenience Store,,486 VT ROUTE 25,TOPSHAM,ORANGE,5040,802-439-5525,,,1
496326.3182,180374.6242,171,WILLIAMSTOWN ELEMENTARY SCHOOL,0.137295,Food Establishment,School,,100 BRUSH HILL RD,WILLIAMSTOWN,ORANGE,5679,8024336653,,,1
496958.2331,179563.1944,172,LOYAL ORDER OF MOOSE LODGE 1391,2.415,Food Establishment,Restaurant,,110 BUSINESS CENTER RD,WILLIAMSTOWN,ORANGE,5679,8024552014,,,1
494156.8619,179853.9711,173,SECOND SPRING,0.1155,Nursing/Assisted Living,Residential Facility,,118 CLARK ROAD,WILLIAMSTOWN,ORANGE,5679,,,,1
489958.4456,177125.7114,174,SWEET RETREAT MAPLE SYRUP PDTS,,Food Manufacturer,Food Processor,,229 FROST RD,WILLIAMSTOWN,ORANGE,5679,(802) 4858-525,,,1
496678.3897,180196.6602,175,THE PUB,0.231,Food Establishment,Restaurant,,2374 ROUTE 14,WILLIAMSTOWN,ORANGE,5679,8024335000,,http://www.facebook.com/BehindTheScenesCafe,1
452735.6527,217768.3471,177,DIVINE DESSERTS OF VT LLC,0.05,Food Establishment,Home-based Business,,278 BRENNAN WOODS DR,WILLIAMSTOWN,ORANGE,5495,8022383916,,https://www.facebook.com/pg/divinedessertsofvt/about/?ref=page_internal,1
496678.3673,180152.2159,178,INITIAL HOME BAKERY,0.13,Food Establishment,Bakery,,30 GARDEN ST,WILLIAMSTOWN,ORANGE,5679,(802) 433-8388,,,1
496830.1748,179596.588,179,PUMP & PANTRY,0.378,Food Establishment,Restaurant,,34 BUSINESS CENTER RD,WILLIAMSTOWN,ORANGE,5679,8024331038,,http://www.facebook.com/pages/Pump-Pantry/132656650109373,1
492275.5521,179600.3537,180,HANHS VIETNAMESE COOKING,0.05,Food Establishment,Caterer,,320 AMANICKI TRAIL,WILLIAMSTOWN,ORANGE,5679,,,,1
