GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
9000,Connecticut,13,  Services,54670.8,58840.7,62984.9,67630.7,70672.4,73495.8,77382,81983.5,87067.5,91534.1,95532.3,99627.6,98737,101836.4,104625.4,107371.6,109297.7,113109,116087.5,119474.6,123041.5,128273.5,131263.6,125363.5,136778.3
9000,Connecticut,19,      Food services and accommodations,4070.1,4259.3,4594.1,4957.2,5071.1,5324.5,5682.8,6129.4,6512,6967.2,7375.6,7584.3,7518.2,7786.1,8093.9,8496.5,8713.3,9144.1,9598.2,9943.4,10279.4,10633.8,10938,8569.2,11588
10000,Delaware,1,Personal consumption expenditures,17384.1,18576.3,19892.3,21270.4,22446.2,23619.9,25161.6,26922.3,28841.4,30335.1,32083.7,32957.3,32460.1,33777.8,35131.6,35996.3,36934.9,38168.3,39499,40559,41859.8,44085.2,45735.2,45112.3,51285.8
10000,Delaware,9,      Food and beverages purchased for off-premises consumption,1448.7,1501.1,1615.1,1701.3,1799.5,1882.1,1983.6,2100.7,2216.4,2345.4,2453.7,2548.4,2551.7,2591.8,2638.6,2670.7,2762.6,2847.3,2885.5,2884.9,2949.4,3061,3104.2,3436.1,3656.8
10000,Delaware,10,      Clothing and footwear,813.1,863.8,946.4,974.1,998.4,1020,1037.2,1071.6,1092.9,1085,1080.6,1054,1007.7,1056,1140.3,1190.2,1183.1,1190.1,1224.2,1256,1239.4,1253.6,1250.6,1093.2,1432.2
10000,Delaware,13,  Services,10961.8,11766.1,12361.6,13277.4,14117.5,14840.9,15828.8,16959.5,18350.2,19435.9,20808.4,21772.9,21892.7,22799.8,23570.1,24176.6,24772.4,25681.4,26722.7,27568.5,28620.1,30235.9,31628.9,30557.5,34123.6
10000,Delaware,19,      Food services and accommodations,1172.1,1219.9,1283.5,1366.9,1381.2,1418.9,1490.9,1647.5,1763.6,1894.8,1996.8,2102.5,2098.3,2222.3,2259,2349.8,2421.9,2527.6,2703.8,2804.5,2866.3,3026.6,3195,2556.4,3460.5
11000,District of Columbia,1,Personal consumption expenditures,19210.5,19755.8,21050,22397.9,23136.4,24138.4,25431.2,27219.5,28744.2,30129.2,31729.8,33021.3,32415.1,33892.4,35460.9,36737.2,38295.1,39914,41546.1,43139.6,45021,47626.2,49118.1,47733.5,52805.9
11000,District of Columbia,9,      Food and beverages purchased for off-premises consumption,1607.1,1580.3,1645.8,1695.9,1804,1824.7,1948.5,2085.5,2128.3,2252.2,2323.9,2496.4,2589.5,2708.6,2830.6,2981.4,3105.5,3278.7,3445.2,3479.9,3629.5,3704.5,3810.3,4020.8,4181.5
11000,District of Columbia,10,      Clothing and footwear,936.7,924.1,954,941.6,902.8,890.4,935.6,973.4,1038.5,1073.5,1127.8,1125.4,1034.7,1069.8,1138.5,1143.9,1199.2,1281.5,1376,1446.9,1507,1538.9,1657.6,1329,1652.1
11000,District of Columbia,13,  Services,12890.8,13588.1,14526.3,15594,16155.1,16946,17772.5,19039.9,20199.1,21235.1,22597.7,23958.3,23851.5,24936.9,26011.6,26843.9,27829.3,29059.3,30236.8,31383.7,32631.9,34575.9,35494.3,33956,37132.3
11000,District of Columbia,19,      Food services and accommodations,1153.3,1275.3,1338.1,1418,1437.2,1523,1659.6,1827.7,2035.7,2155.1,2253.1,2339.6,2377.4,2490.4,2636.9,2736.7,2924.2,3088.8,3357.3,3454.3,3598.8,3844.2,4045.9,2405.2,3079.1
12000,Florida,1,Personal consumption expenditures,335569.9,358211.5,380822.1,412352.5,432799.7,448027,474147.6,513638,557249,601391.8,630844.7,640082.4,621753.2,644318.9,675005.8,700219.1,722610,762704.3,803038.6,836468.9,874165.4,926954.3,964269.4,954880.3,1104068.5
12000,Florida,9,      Food and beverages purchased for off-premises consumption,28922.3,30522.8,32023.5,34401.4,36088.5,35645.5,37429.2,40605.6,43694.5,46181.4,48056,49910.9,49979.4,50516.7,52589.7,54133.9,56132.8,58890.9,61698.9,63644.8,66212.9,69175.4,72444.9,78828.1,84644.5
12000,Florida,10,      Clothing and footwear,11105.5,11513.9,12056.8,12789.2,12845.9,12716.7,13327.8,14265,14926.7,16012.6,16460.7,16095,15591.6,16544.8,17571.8,18691,19328.5,20241.2,20836.8,21111.7,21247.8,21929.6,22170.1,19901,26263.7
12000,Florida,13,  Services,218588.6,233678.5,247359.4,268950.5,282645.4,295451.9,313082,336947.5,363011.7,393846.2,418674.5,433710.6,427593.5,442038.4,459419.1,475310.4,487674.1,514743.4,545585.9,572343.8,597584.6,634875.8,663054.9,636505.9,723184.1
12000,Florida,19,      Food services and accommodations,24136.3,25005.5,25699.8,27336.8,28316.9,29495.5,31754.6,35246,38967.5,41632.5,43286.4,43855.7,42497.7,44663.9,47864.4,51319.5,54435.5,58461.3,63194.7,66012.7,68261.4,72375.9,75446.3,60935.4,83408
13000,Georgia,1,Personal consumption expenditures,151783.3,161348.1,174370.5,188692.1,197679.7,205247.2,216651.8,230226.1,247108.9,262158.8,275892.1,281234.7,273949.3,283499.5,296427.3,306379.2,317225.2,333460.4,346913.3,361907.9,380240.9,400575.6,415665.1,410296,469588.7
13000,Georgia,9,      Food and beverages purchased for off-premises consumption,13268.6,13887.2,14883.4,15846.5,16444.9,16805.1,17411.3,18483,19637.2,20648.7,21796.7,22661.9,23254.3,23790.9,25105.4,26197.7,26938,28469.7,29235.7,29619.4,31407.8,32300.4,33344.6,36632.9,39947.9
13000,Georgia,10,      Clothing and footwear,7463.2,7787.9,8256.3,8457.1,8511.5,8683.9,8697.9,8975.2,9540.2,10042.2,10080.5,9793.5,9387.5,9666.1,9965.8,10190.8,10592.7,11065.8,11502.8,11612.7,11731.3,12088.4,12220.4,11221.7,14758.3
13000,Georgia,13,  Services,93700.6,100120.7,106965,116667.1,123217.6,128745.4,136432.6,145186.2,155691.2,165302.1,174939.5,181412.5,179775.3,184691.7,191447.9,197614.6,204944.1,215898.2,226811.9,239960.2,250940.9,264299,275313.6,261726.1,292680.8
13000,Georgia,19,      Food services and accommodations,10309,10907.7,11621.5,12740.9,13021.4,13473.1,14437.9,15468,16546.1,17659.4,18312.5,18636.1,18318.4,18881.7,19732.9,20609.4,21671.4,23414.5,24440.8,25798.5,27360.5,28706,29986.6,25576.9,32843.7
15000,Hawaii,1,Personal consumption expenditures,26737.4,27558.7,28598.4,30439.2,31631,32783.4,34908.7,37388.2,40553.3,43302.6,45225.8,46870.5,46545.7,47968.9,49957.9,51847.5,53570,55604.6,57056.7,58783.7,61184.9,64529.5,66957.1,64031.5,70859.4
15000,Hawaii,9,      Food and beverages purchased for off-premises consumption,2581,2617.8,2750.4,2859.5,2970.3,3008.9,3084.2,3288.2,3552.8,3768,3960.7,4163.6,4380.3,4480,4683.8,4725.3,4858,4950,4998.8,5099.4,5299,5543.1,5780.5,6294.8,6698.2
15000,Hawaii,10,      Clothing and footwear,1524.5,1427.4,1416.4,1427.9,1361.3,1252.2,1289.9,1356.5,1471.5,1514.3,1508.7,1504.3,1447,1533.7,1677.9,1796.6,1806.1,1849.7,1853,1898.2,1958.3,2078.2,2087.6,1516.6,1906
15000,Hawaii,13,  Services,17866.1,18659.3,19138.9,20401.6,21287,22157.9,23533.6,25143.4,27339.3,29355.5,30859,32372.7,32452.5,33398.7,34549.7,35926.3,37244.6,38863,40186.1,41498.3,43235.7,45588.5,47540.3,44202.7,48465.4
15000,Hawaii,19,      Food services and accommodations,1918.8,1917.1,1957.9,2115.6,2118.4,2202.9,2379.1,2630.9,2847.4,3054.4,3160.4,3163.9,3074.5,3191.1,3430.8,3652.9,3761.8,3923.8,4185.4,4377.7,4714.2,4966.3,5216.7,3514.5,4807.8
16000,Idaho,1,Personal consumption expenditures,21364.6,22540.8,24136.7,26082.3,27268.4,28364.7,30149,32365.2,35200,38292.9,40798,41833.6,40684.4,42105,43810.2,45175.3,46862.6,49025.6,51075.7,53704.8,57312,61370.1,63939.8,65101,75541.2
16000,Idaho,9,      Food and beverages purchased for off-premises consumption,2286.3,2334.4,2455.4,2556.7,2653.5,2690.7,2909.9,3089.3,3310.3,3628.2,3921.4,3963,3968,3925.7,4060.8,4271.5,4429.6,4589.3,4756.9,4867.9,5078.4,5207.4,5361.1,5818.7,6266.4
16000,Idaho,10,      Clothing and footwear,785.8,797.4,825.6,883,901.2,895.1,933.5,969.7,1049.2,1125.8,1180.4,1184.6,1153.8,1174.8,1198.2,1273.6,1312,1332.8,1366.2,1430,1451.3,1526.6,1553.1,1506.6,1895.6
16000,Idaho,13,  Services,12852.2,13761.4,14681,15898.4,16866.9,17774.6,18734.4,19928,21402.2,23184.3,24758,25931.4,26067.1,27007.5,27945.6,28686.5,29551.6,30999.7,32594.4,34627.8,37008.3,40004.8,42170.1,41720.7,46792.3
16000,Idaho,19,      Food services and accommodations,1287.4,1377.6,1434.4,1567.1,1622.7,1701.8,1817.5,1957.6,2120.7,2342.2,2514.6,2587.8,2488.7,2561.5,2681.4,2812,2888.4,3059.5,3275.1,3495.4,3696.8,3991.5,4251.9,3969.1,5180.9
17000,Illinois,1,Personal consumption expenditures,259106.5,274083.7,289255.9,311284.2,321922.5,331174.3,345412.2,363334.1,383670.3,403311,422823.5,433300.1,424621.5,438798.2,454673.3,465504.9,474893,492043.9,504573.4,518592.3,535515.6,559137.3,573085.1,556286.1,627976
17000,Illinois,9,      Food and beverages purchased for off-premises consumption,19453.3,19657.9,20304.7,21948.5,22718,23152.8,24281,25829.7,26963.7,28621.5,30190.5,30574.7,30118.7,30257.3,31321.9,31603,32035.9,32838,33611.8,34030.5,35207,36111.8,37427,40509.5,43728.3
17000,Illinois,10,      Clothing and footwear,12152.1,12605.9,13088.2,13549.9,13274.7,13152.4,13367.3,13876.2,14514.3,14760.3,14786.5,14513.3,13742.7,14270.4,14975.6,15269.8,15455.7,15828.1,16327.5,16457.2,16202,16661.7,16713.3,15167.1,19729.6
17000,Illinois,13,  Services,168535.9,180214.7,189133.3,203511.8,212723.9,219863.4,230171.9,241481.3,255618.9,268607,282170.1,294523.9,294179.6,303837.8,312334.5,320213.5,327129.7,341380.8,351817.4,364138.3,375178.5,392418.3,401717.3,377298.4,413911.4
17000,Illinois,19,      Food services and accommodations,15296.9,16112.6,16872.8,18177.9,18673.8,19362.1,20392.6,21810.5,23420,24980.1,26253.1,26719.8,26203.7,26851.3,27942,29022.3,29637.7,30711.2,33035.9,34509.7,35893.2,37454.3,38942.6,29946.2,39166
18000,Indiana,1,Personal consumption expenditures,111836.4,118005,125462.2,133628.2,138688.2,143391.5,150189.2,160039.1,169376.6,176438.6,183072.2,188064.5,185799.3,191184.5,198958,206023.2,211005.9,217888.8,222911.7,230341.9,242203.1,253695.8,259729.3,258617.9,290592.4
18000,Indiana,9,      Food and beverages purchased for off-premises consumption,10720.1,10943.2,11405.2,11637.8,11839.1,11918.5,12347,13196.5,13912,14382.5,14812,15471.7,15623.5,15640.3,16120.6,16510.5,16939.7,17477.2,18160,18826.5,19554.2,19801.3,20156.2,21776.8,23307
18000,Indiana,10,      Clothing and footwear,4814.2,4984.7,5301.2,5400.7,5393.4,5439.5,5516.4,5592.7,5699.6,5795.9,5735.8,5667.2,5483.9,5700.4,5900,6011.1,6027.3,6125,6230.9,6474.3,6606.7,6743.8,6806.6,6467.7,8195.5
18000,Indiana,13,  Services,66857.9,71272.6,75093.4,80448.1,84556.6,88038.4,92495.5,98694.7,105176.9,109875.8,114870.9,119528.4,121085.1,123807.4,127899.4,132957.2,136421.7,141331.7,145569.8,151103,158734.7,167209.1,171979.6,167312.6,183274.8
18000,Indiana,19,      Food services and accommodations,7224.4,7629.5,8094.3,8481.8,8666.2,8939.7,9347.7,9967.7,10497.9,11019.6,11365.7,11636.9,11579.6,11957.7,12492,13076.3,13289.2,13735.9,14659.3,15072.3,15525.5,16202.7,16699.7,14752.9,18494.6
19000,Iowa,1,Personal consumption expenditures,54035.4,56767,60068.9,63619.8,65783.4,67374.4,70943.6,75345.9,79368.9,83436.6,87191,90567.3,90191.7,93619.4,98090.5,100737.5,102961,106473.5,108541.7,111435.6,115188.2,119344,121665.5,119315.3,133335
19000,Iowa,9,      Food and beverages purchased for off-premises consumption,4675.8,4772.5,5009.4,5202.9,5372.5,5418.5,5609.9,5946.5,6241.2,6558.8,6928.8,7275.1,7388.6,7525.6,7900.9,8200.7,8262.8,8515.7,8696.1,8879,8997.7,9049.9,8974.1,9726.3,10393.4
19000,Iowa,10,      Clothing and footwear,2173.1,2247.2,2356.9,2416.1,2374.3,2350.8,2418.6,2483.9,2547.3,2611.4,2559.2,2587.9,2596.9,2674.4,2707.5,2761.1,2774.7,2818.9,2818.2,2902,2913.2,2994,2981.4,2749.2,3440
19000,Iowa,13,  Services,32940.9,34913.3,36656.6,38985.4,40858.2,42138.9,44439.2,46866.7,49517.5,51907.3,54391.7,56937.1,57666.8,59586.5,61774,63440.3,65081.5,67798.4,70147.3,72483.2,74945.1,77835,80065,76266.5,82884.2
19000,Iowa,19,      Food services and accommodations,3100,3232.4,3333.2,3573.8,3626.9,3770.8,3963.4,4186.9,4428.4,4660.3,4888.2,5141.1,5131.2,5195.9,5429.3,5732.6,5946.4,6191.8,6513.4,6750.4,6927.1,7133.7,7258.4,6167.1,7877.1
20000,Kansas,1,Personal consumption expenditures,50588.1,53713.6,57433.4,61411.4,63799.7,65448.6,68657,72687.3,76698.5,81548.8,86072.7,88917.5,87037.5,89314.1,92479.2,94620.8,96250.2,99395.5,101825.9,103792.2,107092.2,111416.1,114529,113475.7,126619.5
20000,Kansas,9,      Food and beverages purchased for off-premises consumption,4775.7,4857.6,5097,5278.9,5438.3,5453.9,5742.6,5969.4,6486.5,6800.2,7227.9,7499.2,7491,7547.2,7887.3,8036.9,8155.1,8433,8702.9,8914.3,9170.9,9372.5,9623.9,10506.2,11249.1
20000,Kansas,10,      Clothing and footwear,1981.9,2121.1,2176.9,2249.5,2247.8,2223.3,2226.3,2209.2,2258.6,2375.7,2475.3,2489.6,2404.3,2481.6,2570.1,2647.5,2659.2,2695,2741.5,2790.2,2760.1,2793.1,2754.8,2564.6,3224.8
20000,Kansas,13,  Services,30986.5,33233.9,35697.3,38702,40790.2,42345.9,44590,47408.6,49990.2,53223.1,56178.6,58794.4,58430.1,59688.4,61320.8,62532.7,63851.3,66102.7,68216.3,69883.2,72476.2,75642.2,78177.1,75631.8,82231.2
20000,Kansas,19,      Food services and accommodations,2955.8,3069.3,3151,3326.9,3395.7,3488.8,3710.3,4032.8,4216.6,4545,4628.1,4782.1,4849.1,4968.4,5166.1,5404.8,5514.3,5751.9,6097.9,6222.7,6403.6,6589,6783.1,6052.5,7794.1
21000,Kentucky,1,Personal consumption expenditures,69399.4,73419.1,78228.8,83751,86725.8,90052,94424.1,100060.4,106030.8,111616.9,115384.9,119327.7,119334.1,123774.3,128901.9,131569.5,134202,138860.5,143345.3,148558.2,154102.3,160739.5,164781.9,164142.1,184053.4
21000,Kentucky,9,      Food and beverages purchased for off-premises consumption,6776.3,7077.8,7508.3,7778.4,8015.1,8151.3,8510.5,9106.9,9558.6,9929.5,10390.4,11006.8,11440.3,11602.9,12043.9,12412.2,12416.7,12853.1,13297.6,13746.5,14322.2,14491,14589.6,15742.9,16699.5
21000,Kentucky,10,      Clothing and footwear,2822.8,2958.5,3165,3232.4,3201.3,3188,3244.1,3268.6,3361.9,3532.1,3526.5,3445.7,3339.9,3399.2,3524.6,3560.6,3559.3,3677.1,3783.5,3888.9,3937.3,3982.1,3990.4,3799.3,4957.6
21000,Kentucky,13,  Services,41774,44546.2,46881.1,50330.1,52896.7,55194.1,57910.3,61103.2,65207.1,68439.2,71011.9,74280,75582.7,78108.2,80694.8,82127.1,84408.5,87881.6,91540,95652.9,99152.4,103759.5,107193.9,103875.8,114370.3
21000,Kentucky,19,      Food services and accommodations,4435.4,4627.7,4792.9,5080.3,5175.9,5324.5,5624.1,6052.3,6405.7,6779.7,6996.2,7200.7,7364.5,7618.5,7931.3,8294.5,8381.2,8770.4,9243.9,9569.1,9874.2,10202.8,10621.7,9254.4,11929.4
22000,Louisiana,1,Personal consumption expenditures,75087.7,79151.6,83199.5,87610.6,91219.7,94668.2,100117.8,105841,110707.8,117591.1,124298.7,129312,128770.9,134277.3,139954.2,143779.9,147598.3,153179.5,157340.3,160575.5,165317.6,171413,176015.7,173900,195570.2
22000,Louisiana,9,      Food and beverages purchased for off-premises consumption,7720.4,7890,8167.8,8277.6,8422,8460.4,8866.7,9204.1,9447.8,9911.7,10394.1,10884.1,11172.4,11170.7,11598.6,11961.8,12187.3,12544,12969.7,13158.9,13348.7,13525.2,13709.5,14785.8,16121
