State,County_name,metro_status,farming,mining,manufacturing,government,recreation,non_specialized,low_education,low_employment,pop_loss,retirement_dest,persistent_poverty,persistent_child_poverty
AL,Morgan,1,0,0.00,1,0,0,0,0,0,0,0,0,0
AL,Perry,0,0,0.00,0,0,0,1,1,1,1,0,1,1
AL,Pickens,1,0,0.00,0,0,0,1,0,1,0,0,1,1
AL,Pike,0,0,0.00,0,1,0,0,0,0,0,0,1,1
AL,Randolph,0,0,0.00,0,0,0,1,1,1,0,0,0,1
AL,Russell,1,0,0.00,1,0,0,0,0,0,0,0,0,1
AL,St. Clair,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AL,Shelby,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AL,Sumter,0,0,0.00,0,1,0,0,0,1,1,0,1,1
AL,Talladega,0,0,0.00,1,0,0,0,0,1,0,0,0,1
AL,Tallapoosa,0,0,0.00,0,0,0,1,1,1,0,0,0,0
AL,Tuscaloosa,1,0,0.00,0,1,0,0,0,0,0,0,0,0
AL,Walker,1,0,0.00,0,0,0,1,1,1,0,0,0,0
AL,Washington,0,0,0.00,1,0,0,0,0,1,0,0,0,1
AL,Wilcox,0,0,0.00,1,0,0,0,1,1,1,0,1,1
AL,Winston,0,0,0.00,1,0,0,0,1,1,0,0,0,0
AK,Aleutians East Borough,0,0,0.00,1,0,0,0,0,0,0,0,0,0
AK,Aleutians West Census Area,0,0,0.00,1,0,0,0,1,0,0,0,0,0
AK,Anchorage Municipality,1,0,0.00,0,1,0,0,0,0,0,0,0,0
AK,Bethel Census Area,0,0,0.00,0,0,0,1,0,1,0,0,0,1
AK,Bristol Bay Borough,0,0,0.00,1,0,1,0,0,0,1,0,0,0
AK,Denali Borough,0,0,1.00,0,1,1,0,0,0,0,0,0,0
AK,Dillingham Census Area,0,0,0.00,1,0,1,0,0,0,0,0,0,1
AK,Fairbanks North Star Borough,1,0,0.00,0,1,0,0,0,0,0,0,0,0
AK,Haines Borough,0,0,0.00,0,0,1,0,0,0,0,0,0,0
AK,"Hoonah-Angoon Census Area, AK",0,0,0.00,0,1,1,0,0,0,1,0,0,0
AK,Juneau City and Borough,0,0,0.00,0,1,0,0,0,0,0,0,0,0
AK,Kenai Peninsula Borough,0,0,0.00,0,0,1,0,0,0,0,0,0,0
AK,Ketchikan Gateway Borough,0,0,0.00,0,1,0,0,0,0,0,0,0,0
AK,Kodiak Island Borough,0,0,0.00,1,0,0,0,0,0,0,0,0,0
AK,Lake and Peninsula Borough,0,0,0.00,0,0,1,0,0,0,0,0,0,1
AK,Matanuska-Susitna Borough,1,0,0.00,0,0,1,0,0,0,0,1,0,0
AK,Nome Census Area,0,0,0.00,0,0,0,1,0,1,0,0,0,0
AK,North Slope Borough,0,0,1.00,0,0,0,0,0,0,0,0,0,0
AK,Northwest Arctic Borough,0,0,1.00,0,0,1,0,0,1,0,0,0,0
AK,Petersburg Census area,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AK,Price of Wales Hyder Census Area,0,0,0.00,0,0,1,0,0,0,0,0,0,0
AK,Sitka City and Borough,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AK,Skagway Municipality,0,0,0.00,0,0,1,0,0,0,1,0,0,0
AK,Southeast Fairbanks Census Area,0,0,1.00,0,1,0,0,0,0,0,0,0,0
AK,Valdez-Cordova Census Area,0,0,0.00,0,0,1,0,0,0,0,0,0,0
AK,Wade Hampton Census Area,0,0,0.00,0,0,0,1,0,1,0,0,1,1
AK,Wrangell City and Borough,0,0,0.00,0,0,1,0,0,0,0,0,0,0
AK,Yakutat City and Borough,0,0,0.00,0,1,1,0,0,0,0,0,0,0
AK,Yukon-Koyukuk Census Area,0,0,0.00,0,0,0,1,0,1,1,0,1,1
AZ,Apache,0,0,0.00,0,1,0,0,0,1,0,0,1,1
AZ,Cochise,1,0,0.00,0,1,0,0,0,1,0,0,0,0
AZ,Coconino,1,0,0.00,0,1,1,0,0,0,0,0,0,1
AZ,Gila,0,0,0.00,0,0,1,0,0,1,0,1,0,0
AZ,Graham,0,0,0.00,0,1,0,0,0,1,0,0,0,1
AZ,Greenlee,0,0,1.00,0,0,0,0,0,1,0,0,0,0
AZ,La Paz,0,0,0.00,0,0,1,0,1,1,0,1,0,1
AZ,Maricopa,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AZ,Mohave,1,0,0.00,0,0,1,0,0,1,0,1,0,0
AZ,Navajo,0,0,0.00,0,0,1,0,0,1,0,1,1,1
AZ,Pima,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AZ,Pinal,1,0,0.00,0,0,0,1,0,1,0,1,0,0
AZ,Santa Cruz,0,0,0.00,0,1,0,0,1,1,0,1,0,1
AZ,Yavapai,1,0,0.00,0,0,1,0,0,1,0,1,0,0
AZ,Yuma,1,0,0.00,0,0,1,0,1,1,0,0,0,1
AR,Arkansas,0,0,0.00,1,0,0,0,0,0,1,0,0,1
AR,Ashley,0,0,0.00,1,0,0,0,0,0,1,0,0,1
AR,Baxter,0,0,0.00,0,0,0,1,0,1,0,1,0,0
AR,Benton,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Boone,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Bradley,0,0,0.00,0,0,0,1,1,0,0,0,1,1
AR,Calhoun,0,0,0.00,1,0,0,0,0,0,1,0,0,0
AR,Carroll,0,0,0.00,1,0,1,0,0,0,0,0,0,1
AR,Chicot,0,1,0.00,0,0,0,0,1,1,1,0,1,1
AR,Clark,0,0,0.00,0,1,0,0,0,0,0,0,0,1
AR,Clay,0,1,0.00,0,0,0,0,0,1,1,0,0,1
AR,Cleburne,0,0,0.00,0,0,1,0,0,1,0,0,0,0
AR,Cleveland,1,0,0.00,0,0,0,1,0,1,0,0,0,0
AR,Columbia,0,0,1.00,1,0,0,0,0,1,1,0,1,1
AR,Conway,0,0,0.00,0,0,0,1,0,1,0,0,0,0
AR,Craighead,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Crawford,1,0,0.00,1,0,0,0,0,0,0,1,0,0
AR,Crittenden,1,0,0.00,0,0,0,1,0,0,0,0,1,1
AR,Cross,0,0,0.00,0,0,0,1,0,0,0,0,0,1
AR,Dallas,0,0,0.00,0,0,0,1,0,1,1,0,0,0
AR,Desha,0,0,0.00,0,0,0,1,0,0,1,0,1,1
AR,Drew,0,0,0.00,0,1,0,0,0,0,0,0,0,0
AR,Faulkner,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AR,Franklin,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Fulton,0,0,0.00,0,0,0,1,0,1,0,1,0,1
AR,Garland,1,0,0.00,0,0,1,0,0,0,0,1,0,0
AR,Grant,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Greene,0,0,0.00,1,0,0,0,0,0,0,0,0,0
AR,Hempstead,0,0,0.00,0,0,0,1,0,0,0,0,0,1
AR,Hot Spring,0,0,0.00,0,0,0,1,0,1,0,0,0,0
AR,Howard,0,0,0.00,1,0,0,0,1,0,0,0,0,0
AR,Independence,0,0,0.00,1,0,0,0,0,0,0,0,0,0
AR,Izard,0,0,0.00,0,1,0,0,0,1,0,1,0,1
AR,Jackson,0,0,0.00,0,1,0,0,1,1,1,0,0,1
AR,Jefferson,1,0,0.00,0,1,0,0,0,1,1,0,1,1
AR,Johnson,0,0,0.00,1,0,0,0,1,0,0,0,0,0
AR,Lafayette,0,0,0.00,0,0,0,1,0,1,1,0,1,1
AR,Lawrence,0,0,0.00,0,0,0,1,0,1,0,0,0,1
AR,Lee,0,1,0.00,0,1,0,0,1,1,1,0,1,1
AR,Lincoln,1,0,0.00,0,1,0,0,1,1,0,0,0,1
AR,Little River,1,0,0.00,1,0,0,0,0,0,1,0,0,0
AR,Logan,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Lonoke,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AR,Madison,1,1,0.00,1,0,0,0,1,0,0,0,0,1
AR,Marion,0,0,0.00,1,0,0,0,0,1,0,0,0,0
AR,Miller,1,0,0.00,0,0,0,1,0,0,0,0,0,1
AR,Mississippi,0,0,0.00,1,0,0,0,0,1,1,0,1,1
AR,Monroe,0,0,0.00,0,0,0,1,0,1,1,0,1,1
AR,Montgomery,0,0,0.00,0,0,1,0,0,1,0,0,0,1
AR,Nevada,0,0,0.00,1,0,0,0,0,1,1,0,1,1
AR,Newton,0,1,0.00,0,0,0,0,0,1,0,0,1,1
AR,Ouachita,0,0,0.00,0,1,0,0,0,0,1,0,0,1
AR,Perry,1,0,0.00,0,0,0,1,0,1,0,0,0,0
AR,Phillips,0,0,0.00,0,0,0,1,1,1,1,0,1,1
AR,Pike,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Poinsett,1,0,0.00,0,0,0,1,1,1,0,0,1,1
AR,Polk,0,0,0.00,0,0,0,1,0,1,0,0,0,1
AR,Pope,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Prairie,0,1,0.00,0,0,0,0,0,0,0,0,0,0
AR,Pulaski,1,0,0.00,0,1,0,0,0,0,0,0,0,0
AR,Randolph,0,0,0.00,0,0,0,1,0,1,0,0,0,0
AR,St. Francis,0,0,0.00,0,1,0,0,0,1,0,0,1,1
AR,Saline,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AR,Scott,0,0,0.00,1,0,0,0,1,0,0,0,0,1
AR,Searcy,0,0,0.00,0,0,0,1,0,1,0,0,1,1
AR,Sebastian,1,0,0.00,1,0,0,0,0,0,0,0,0,0
AR,Sevier,0,0,0.00,1,0,0,0,1,0,0,0,0,0
AR,Sharp,0,0,0.00,0,0,0,1,0,1,0,0,0,1
AR,Stone,0,0,0.00,0,0,0,1,0,1,0,1,0,1
AR,Union,0,0,1.00,0,0,0,0,0,0,1,0,0,1
AR,Van Buren,0,0,0.00,0,0,0,1,0,1,0,0,0,1
AR,Washington,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,White,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AR,Woodruff,0,0,0.00,0,0,0,1,1,1,1,0,1,1
AR,Yell,0,0,0.00,1,0,0,0,1,0,0,0,0,0
CA,Alameda,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Alpine,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Amador,0,0,0.00,0,1,0,0,0,1,0,0,0,0
CA,Butte,1,0,0.00,0,0,0,1,0,1,0,0,0,0
CA,Calaveras,0,0,0.00,0,0,1,0,0,1,0,0,0,0
CA,Colusa,0,1,0.00,0,0,0,0,1,0,0,0,0,0
CA,Contra Costa,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Del Norte,0,0,0.00,0,1,0,0,1,1,0,0,0,0
CA,El Dorado,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Fresno,1,0,0.00,0,0,0,1,1,0,0,0,0,1
CA,Glenn,0,1,0.00,0,0,0,0,1,1,0,0,0,0
CA,Humboldt,0,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Imperial,1,0,0.00,0,1,0,0,1,1,0,0,0,1
CA,Inyo,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Kern,1,0,0.00,0,0,0,1,1,1,0,0,0,0
CA,Kings,1,0,0.00,0,1,0,0,1,1,0,0,0,0
CA,Lake,0,0,0.00,0,0,0,1,0,1,0,0,0,0
CA,Lassen,0,0,0.00,0,1,0,0,1,1,0,0,0,0
CA,Los Angeles,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,Madera,1,0,0.00,0,0,0,1,1,1,0,0,0,1
CA,Marin,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Mariposa,0,0,0.00,0,1,1,0,0,1,0,0,0,0
CA,Mendocino,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Merced,1,0,0.00,0,0,0,1,1,1,0,0,0,0
CA,Modoc,0,0,0.00,0,1,0,0,0,1,0,0,0,0
CA,Mono,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Monterey,1,0,0.00,0,0,1,0,1,0,0,0,0,0
CA,Napa,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Nevada,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Orange,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Placer,1,0,0.00,0,0,1,0,0,0,0,1,0,0
CA,Plumas,0,0,0.00,0,0,1,0,0,1,0,0,0,0
CA,Riverside,1,0,0.00,0,0,1,0,1,0,0,1,0,0
CA,Sacramento,1,0,0.00,0,1,0,0,0,0,0,0,0,0
CA,San Benito,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,San Bernardino,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,San Diego,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,San Francisco,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,San Joaquin,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,San Luis Obispo,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,San Mateo,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Santa Barbara,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,Santa Clara,1,0,0.00,1,0,0,0,0,0,0,0,0,0
CA,Santa Cruz,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Shasta,1,0,0.00,0,0,0,1,0,1,0,1,0,0
CA,Sierra,0,0,0.00,0,0,1,0,0,1,0,0,0,0
CA,Siskiyou,0,0,0.00,0,0,0,1,0,1,0,0,0,0
CA,Solano,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Sonoma,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CA,Stanislaus,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,Sutter,1,0,0.00,0,0,0,1,1,0,0,0,0,0
CA,Tehama,0,0,0.00,0,0,0,1,0,1,0,0,0,0
CA,Trinity,0,0,0.00,0,1,1,0,0,1,0,0,0,0
CA,Tulare,1,0,0.00,0,0,0,1,1,0,0,0,0,1
CA,Tuolumne,0,0,0.00,0,0,1,0,0,1,0,0,0,0
CA,Ventura,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CA,Yolo,1,0,0.00,0,1,0,0,0,0,0,0,0,0
CA,Yuba,1,0,0.00,0,1,0,0,1,1,0,0,0,1
CO,Adams,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Alamosa,0,0,0.00,0,1,0,0,0,1,0,0,1,1
CO,Arapahoe,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Archuleta,0,0,0.00,0,0,1,0,0,0,0,1,0,0
CO,Baca,0,1,0.00,0,0,0,0,0,0,1,0,0,1
CO,Bent,0,1,0.00,0,1,0,0,1,1,0,0,0,0
CO,Boulder,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Broomfield,1,0,0.00,0,0,0,1,0,0,0,1,0,0
CO,Chaffee,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Cheyenne,0,1,0.00,0,0,0,0,0,0,1,0,0,0
CO,Clear Creek,1,0,1.00,0,0,1,0,0,0,0,0,0,0
CO,Conejos,0,1,0.00,0,0,0,0,0,0,0,0,0,0
CO,Costilla,0,1,0.00,0,0,1,0,1,1,0,0,1,1
CO,Crowley,0,0,0.00,0,1,0,0,1,1,0,0,0,1
CO,Custer,0,0,0.00,0,0,1,0,0,1,0,1,0,1
CO,Delta,0,0,1.00,0,0,0,0,0,1,0,0,0,0
CO,Denver,1,0,0.00,0,0,0,1,0,0,0,0,0,1
CO,Dolores,0,1,1.00,0,0,1,0,0,0,0,0,0,0
CO,Douglas,1,0,0.00,0,0,0,1,0,0,0,1,0,0
CO,Eagle,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Elbert,1,1,0.00,0,0,0,0,0,0,0,0,0,0
CO,El Paso,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Fremont,0,0,0.00,0,1,0,0,0,1,0,1,0,0
CO,Garfield,0,0,1.00,0,0,0,0,0,0,0,0,0,0
CO,Gilpin,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Grand,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Gunnison,0,0,1.00,0,0,1,0,0,0,0,0,0,0
CO,Hinsdale,0,0,0.00,0,0,1,0,0,1,0,0,0,0
CO,Huerfano,0,0,0.00,0,0,1,0,0,1,0,1,0,1
CO,Jackson,0,1,1.00,0,0,1,0,0,0,1,0,0,0
CO,Jefferson,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Kiowa,0,1,0.00,0,0,0,0,0,0,1,0,0,0
CO,Kit Carson,0,1,0.00,0,0,0,0,0,0,0,0,0,0
CO,Lake,0,0,1.00,0,0,1,0,0,0,0,0,0,0
CO,La Plata,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Larimer,1,0,0.00,0,0,1,0,0,0,0,1,0,0
CO,Las Animas,0,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Lincoln,0,0,0.00,0,1,0,0,1,1,0,0,0,0
CO,Logan,0,0,0.00,0,1,0,0,0,0,0,0,0,0
CO,Mesa,1,0,0.00,0,0,0,1,0,0,0,1,0,0
CO,Mineral,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Moffat,0,0,1.00,0,0,0,0,0,0,0,0,0,0
CO,Montezuma,0,0,0.00,0,0,0,1,0,0,0,1,0,0
CO,Montrose,0,0,0.00,0,0,0,1,0,0,0,1,0,0
CO,Morgan,0,0,0.00,1,0,0,0,0,0,0,0,0,0
CO,Otero,0,0,0.00,0,0,0,1,0,0,0,0,0,1
CO,Ouray,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Park,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Phillips,0,1,0.00,0,0,0,0,0,0,0,0,0,0
CO,Pitkin,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Prowers,0,0,0.00,0,0,0,1,0,0,0,0,0,1
CO,Pueblo,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Rio Blanco,0,0,1.00,0,0,0,0,0,0,0,0,0,0
CO,Rio Grande,0,0,0.00,0,0,0,1,0,0,0,0,0,0
CO,Routt,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Saguache,0,1,0.00,0,0,0,0,1,0,0,0,1,1
CO,San Juan,0,0,1.00,0,0,1,0,0,0,0,0,0,0
CO,San Miguel,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Sedgwick,0,1,0.00,0,0,0,0,0,0,0,0,0,0
CO,Summit,0,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Teller,1,0,0.00,0,0,1,0,0,0,0,0,0,0
CO,Washington,0,1,0.00,0,0,0,0,0,0,0,0,0,0
CO,Weld,1,0,0.00,0,0,0,1,0,0,0,1,0,0
CO,Yuma,0,1,0.00,0,0,0,0,0,0,0,0,0,0
CT,Fairfield,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CT,Hartford,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CT,Litchfield,0,0,0.00,0,0,0,1,0,0,0,0,0,0
CT,Middlesex,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CT,New Haven,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CT,New London,1,0,0.00,0,0,0,1,0,0,0,0,0,0
CT,Tolland,1,0,0.00,0,1,0,0,0,0,0,0,0,0
CT,Windham,1,0,0.00,0,0,0,1,0,0,0,0,0,0
DE,Kent,1,0,0.00,0,1,0,0,0,0,0,1,0,0
DE,New Castle,1,0,0.00,0,0,0,1,0,0,0,0,0,0
DE,Sussex,1,0,0.00,0,0,1,0,0,0,0,1,0,0
DC,District of Columbia,1,0,0.00,0,1,0,0,0,0,0,0,0,1
FL,Alachua,1,0,0.00,0,1,0,0,0,0,0,0,1,0
FL,Baker,1,0,0.00,0,1,0,0,0,1,0,1,0,0
FL,Bay,1,0,0.00,0,0,1,0,0,0,0,0,0,0
FL,Bradford,0,0,0.00,0,0,0,1,1,1,0,0,0,0
FL,Brevard,1,0,0.00,0,0,0,1,0,0,0,1,0,0
FL,Broward,1,0,0.00,0,0,0,1,0,0,0,0,0,0
FL,Calhoun,0,0,0.00,0,1,0,0,1,1,0,1,0,0
FL,Charlotte,1,0,0.00,0,0,1,0,0,1,0,1,0,0
FL,Citrus,1,0,0.00,0,0,0,1,0,1,0,1,0,0
FL,Clay,1,0,0.00,0,0,0,1,0,0,0,1,0,0
FL,Collier,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Columbia,0,0,0.00,0,1,0,0,0,1,0,1,0,0
FL,DeSoto,0,0,0.00,0,0,0,1,1,1,0,0,0,1
FL,Dixie,0,0,0.00,0,1,0,0,0,1,0,1,0,0
FL,Duval,1,0,0.00,0,0,0,1,0,0,0,0,0,0
FL,Escambia,1,0,0.00,0,0,0,1,0,0,0,0,0,1
FL,Flagler,1,0,0.00,0,0,0,1,0,1,0,1,0,0
FL,Franklin,0,0,0.00,0,1,1,0,1,1,0,0,0,1
FL,Gadsden,1,0,0.00,0,1,0,0,1,1,0,0,0,1
FL,Gilchrist,1,0,0.00,0,1,0,0,0,1,0,1,0,0
FL,Glades,0,0,0.00,0,0,0,1,1,1,0,1,0,0
FL,Gulf,1,0,0.00,0,1,1,0,1,1,0,0,0,1
FL,Hamilton,0,0,0.00,0,1,0,0,1,1,0,1,1,1
FL,Hardee,0,0,0.00,0,0,0,1,1,1,0,0,1,1
FL,Hendry,0,1,0.00,0,0,0,0,1,1,0,0,0,1
FL,Hernando,1,0,0.00,0,0,0,1,0,1,0,1,0,0
FL,Highlands,1,0,0.00,0,0,0,1,0,1,0,1,0,1
FL,Hillsborough,1,0,0.00,0,0,0,1,0,0,0,0,0,0
FL,Holmes,0,0,0.00,0,1,0,0,1,1,0,1,0,1
FL,Indian River,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Jackson,0,0,0.00,0,1,0,0,0,1,0,0,0,0
FL,Jefferson,1,0,0.00,0,1,0,0,0,1,0,1,0,0
FL,Lafayette,0,0,0.00,0,1,0,0,0,0,0,0,0,1
FL,Lake,1,0,0.00,0,0,0,1,0,0,0,1,0,0
FL,Lee,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Leon,1,0,0.00,0,1,0,0,0,0,0,0,0,0
FL,Levy,0,0,0.00,0,0,0,1,0,1,0,1,0,1
FL,Liberty,0,0,0.00,0,1,0,0,1,1,0,0,0,0
FL,Madison,0,0,0.00,0,0,0,1,0,1,0,0,1,1
FL,Manatee,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Marion,1,0,0.00,0,0,0,1,0,1,0,1,0,1
FL,Martin,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Miami-Dade,1,0,0.00,0,0,0,1,0,0,0,0,0,0
FL,Monroe,0,0,0.00,0,0,1,0,0,0,0,0,0,0
FL,Nassau,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Okaloosa,1,0,0.00,0,0,0,1,0,0,0,0,0,0
FL,Okeechobee,0,0,0.00,0,0,0,1,1,1,0,0,0,0
FL,Orange,1,0,0.00,0,0,1,0,0,0,0,0,0,0
FL,Osceola,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Palm Beach,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,Pasco,1,0,0.00,0,0,0,1,0,0,0,1,0,0
FL,Pinellas,1,0,0.00,0,0,0,1,0,0,0,0,0,0
FL,Polk,1,0,0.00,0,0,0,1,0,0,0,1,0,0
FL,Putnam,0,0,0.00,0,0,0,1,1,1,0,0,0,1
FL,St. Johns,1,0,0.00,0,0,1,0,0,0,0,1,0,0
FL,St. Lucie,1,0,0.00,0,0,0,1,0,0,0,1,0,1
FL,Santa Rosa,1,0,0.00,0,0,0,1,0,0,0,1,0,0
