census_year,county_name,state_name,urban,rural
2020,Leon,Florida,116829,16649
2020,Levy,Florida,0,20868
2020,Liberty,Florida,0,3196
2020,Madison,Florida,0,8315
2020,Manatee,Florida,199705,6928
2020,Marion,Florida,125449,51931
2020,Martin,Florida,77496,3875
2020,Miami-Dade,Florida,1068588,6097
2020,Monroe,Florida,46163,7798
2020,Nassau,Florida,26223,15405
2020,Okaloosa,Florida,92377,8820
2020,Okeechobee,Florida,13196,5288
2020,Orange,Florida,550152,11699
2020,Osceola,Florida,144850,9830
2020,Palm Beach,Florida,701008,4980
2020,Pasco,Florida,239557,17226
2020,Pinellas,Florida,515587,737
2020,Polk,Florida,281372,35009
2020,Putnam,Florida,8830,27184
2020,St. Johns,Florida,102435,16655
2020,St. Lucie,Florida,142318,5566
2020,Santa Rosa,Florida,61074,14780
2020,Sarasota,Florida,248993,4238
2020,Seminole,Florida,188144,5646
2020,Sumter,Florida,62718,12586
2020,Suwannee,Florida,2751,16108
2020,Taylor,Florida,2945,8143
2020,Union,Florida,0,4713
2020,Volusia,Florida,251497,20828
2020,Wakulla,Florida,3912,9721
2020,Walton,Florida,36738,19459
2020,Washington,Florida,0,10846
2020,Appling,Georgia,2482,6014
2020,Atkinson,Georgia,0,3470
2020,Bacon,Georgia,0,4807
2020,Baker,Georgia,0,1447
2020,Baldwin,Georgia,10341,9647
2020,Banks,Georgia,335,6876
2020,Barrow,Georgia,20212,9807
2020,Bartow,Georgia,26421,16014
2020,Ben Hill,Georgia,5354,2770
2020,Berrien,Georgia,2135,5856
2020,Bibb,Georgia,62984,8917
2020,Bleckley,Georgia,2408,2768
2020,Brantley,Georgia,67,8076
2020,Brooks,Georgia,0,7280
2020,Bryan,Georgia,8513,8190
2020,Bulloch,Georgia,17978,15005
2020,Burke,Georgia,2701,8437
2020,Butts,Georgia,2234,7203
2020,Calhoun,Georgia,0,2020
2020,Camden,Georgia,15584,6957
2020,Candler,Georgia,0,4629
2020,Carroll,Georgia,21036,25203
2020,Catoosa,Georgia,21838,6133
2020,Charlton,Georgia,0,4660
2020,Chatham,Georgia,130239,3907
2020,Chattahoochee,Georgia,1782,1460
2020,Chattooga,Georgia,4185,6669
2020,Cherokee,Georgia,82653,18160
2020,Clarke,Georgia,52647,3155
2020,Clay,Georgia,0,1961
2020,Clayton,Georgia,113488,550
2020,Clinch,Georgia,0,3025
2020,Cobb,Georgia,308497,7
2020,Coffee,Georgia,6099,11232
2020,Colquitt,Georgia,8379,10726
2020,Columbia,Georgia,49562,9078
2020,Cook,Georgia,2965,4293
2020,Coweta,Georgia,32404,24325
2020,Crawford,Georgia,0,5154
2020,Crisp,Georgia,5224,4630
2020,Dade,Georgia,68,7319
2020,Dawson,Georgia,3829,8097
2020,Decatur,Georgia,6070,6966
2020,DeKalb,Georgia,325661,440
2020,Dodge,Georgia,2778,5755
2020,Dooly,Georgia,0,4762
2020,Dougherty,Georgia,34983,5577
2020,Douglas,Georgia,46011,7874
2020,Early,Georgia,0,4918
2020,Echols,Georgia,0,1531
2020,Effingham,Georgia,6455,17862
2020,Elbert,Georgia,2770,6478
2020,Emanuel,Georgia,3111,6851
2020,Evans,Georgia,0,4646
2020,Fannin,Georgia,0,17643
2020,Fayette,Georgia,37504,7698
2020,Floyd,Georgia,24813,15662
2020,Forsyth,Georgia,80828,6753
2020,Franklin,Georgia,0,10586
2020,Fulton,Georgia,491110,2896
2020,Gilmer,Georgia,3738,13979
2020,Glascock,Georgia,0,1403
2020,Glynn,Georgia,34174,7982
2020,Gordon,Georgia,9099,13637
2020,Grady,Georgia,4422,7117
2020,Greene,Georgia,0,10087
2020,Gwinnett,Georgia,329168,1401
2020,Habersham,Georgia,6540,11800
2020,Hall,Georgia,57980,18885
2020,Hancock,Georgia,0,4896
2020,Haralson,Georgia,2924,9368
2020,Harris,Georgia,420,13792
2020,Hart,Georgia,2608,10155
2020,Heard,Georgia,0,4742
2020,Henry,Georgia,71347,15247
2020,Houston,Georgia,60946,5687
2020,Irwin,Georgia,0,4158
2020,Jackson,Georgia,10565,17134
2020,Jasper,Georgia,0,6270
2020,Jeff Davis,Georgia,2179,4172
2020,Jefferson,Georgia,0,7148
2020,Jenkins,Georgia,0,4066
2020,Johnson,Georgia,0,3542
2020,Jones,Georgia,2007,9577
2020,Lamar,Georgia,2796,4765
2020,Lanier,Georgia,0,4069
2020,Laurens,Georgia,9337,12587
2020,Lee,Georgia,4881,7828
2020,Liberty,Georgia,19984,6580
2020,Lincoln,Georgia,0,4389
2020,Long,Georgia,1259,4921
2020,Lowndes,Georgia,32392,16325
2020,Lumpkin,Georgia,1403,11603
2020,McDuffie,Georgia,3892,5498
2020,McIntosh,Georgia,0,6615
2020,Macon,Georgia,0,5109
2020,Madison,Georgia,1068,11046
2020,Marion,Georgia,0,3497
2020,Meriwether,Georgia,0,9456
2020,Miller,Georgia,0,2851
2020,Mitchell,Georgia,2350,6686
2020,Monroe,Georgia,2274,8811
2020,Montgomery,Georgia,46,3694
2020,Morgan,Georgia,2088,6230
2020,Murray,Georgia,5030,11008
2020,Muscogee,Georgia,87639,2709
2020,Newton,Georgia,27777,13979
2020,Oconee,Georgia,7155,7843
2020,Oglethorpe,Georgia,0,6343
2020,Paulding,Georgia,46943,12229
2020,Peach,Georgia,7363,4628
2020,Pickens,Georgia,2657,12239
2020,Pierce,Georgia,96,8264
2020,Pike,Georgia,22,7044
2020,Polk,Georgia,8398,8876
2020,Pulaski,Georgia,0,4281
2020,Putnam,Georgia,0,13032
2020,Quitman,Georgia,402,1276
2020,Rabun,Georgia,0,11970
2020,Randolph,Georgia,0,3438
2020,Richmond,Georgia,85045,7012
2020,Rockdale,Georgia,30449,4978
2020,Schley,Georgia,0,1961
2020,Screven,Georgia,0,6500
2020,Seminole,Georgia,0,5048
2020,Spalding,Georgia,16469,11316
2020,Stephens,Georgia,5219,7098
2020,Stewart,Georgia,0,2103
2020,Sumter,Georgia,7609,5849
2020,Talbot,Georgia,0,3042
2020,Taliaferro,Georgia,0,908
2020,Tattnall,Georgia,0,9298
2020,Taylor,Georgia,0,3894
2020,Telfair,Georgia,0,4704
2020,Terrell,Georgia,0,4243
2020,Thomas,Georgia,11627,9041
2020,Tift,Georgia,10511,6864
2020,Toombs,Georgia,6192,5835
2020,Towns,Georgia,0,8600
2020,Treutlen,Georgia,0,2868
2020,Troup,Georgia,16175,12546
2020,Turner,Georgia,2086,1830
2020,Twiggs,Georgia,0,4028
2020,Union,Georgia,0,14645
2020,Upson,Georgia,6679,5622
2020,Walker,Georgia,14833,14304
2020,Walton,Georgia,14996,20477
2020,Ware,Georgia,10981,4877
2020,Warren,Georgia,0,2511
2020,Washington,Georgia,3344,5212
2020,Wayne,Georgia,4971,7489
2020,Webster,Georgia,0,1196
2020,Wheeler,Georgia,0,2420
2020,White,Georgia,0,13535
2020,Whitfield,Georgia,24979,13897
2020,Wilcox,Georgia,0,3440
2020,Wilkes,Georgia,0,5165
2020,Wilkinson,Georgia,0,4288
2020,Worth,Georgia,2726,6518
2020,Hawaii,Hawaii,35846,52845
2020,Honolulu,Hawaii,365736,4929
2020,Kalawao,Hawaii,0,114
2020,Kauai,Hawaii,17488,12669
2020,Maui,Hawaii,56399,15040
2020,Ada,Idaho,188928,7973
2020,Adams,Idaho,0,2642
2020,Bannock,Idaho,29266,5637
2020,Bear Lake,Idaho,0,3849
2020,Benewah,Idaho,0,4628
2020,Bingham,Idaho,7113,9792
2020,Blaine,Idaho,11575,3861
2020,Boise,Idaho,0,5443
2020,Bonner,Idaho,6419,19893
2020,Bonneville,Idaho,38357,6857
2020,Boundary,Idaho,0,5400
2020,Butte,Idaho,0,1289
2020,Camas,Idaho,0,691
2020,Canyon,Idaho,65829,15184
2020,Caribou,Idaho,0,3108
2020,Cassia,Idaho,4505,4333
2020,Clark,Idaho,0,483
2020,Clearwater,Idaho,0,4552
2020,Custer,Idaho,0,3021
2020,Elmore,Idaho,7378,4671
2020,Franklin,Idaho,0,4985
2020,Fremont,Idaho,0,8452
2020,Gem,Idaho,4191,3372
2020,Gooding,Idaho,0,6030
2020,Idaho,Idaho,0,8872
2020,Jefferson,Idaho,3361,6773
2020,Jerome,Idaho,4309,4260
2020,Kootenai,Idaho,54905,19831
2020,Latah,Idaho,11301,5958
2020,Lemhi,Idaho,0,4568
2020,Lewis,Idaho,0,1810
2020,Lincoln,Idaho,0,1948
2020,Madison,Idaho,10591,3533
2020,Minidoka,Idaho,4658,3560
2020,Nez Perce,Idaho,14812,3552
2020,Oneida,Idaho,0,2009
2020,Owyhee,Idaho,0,4719
2020,Payette,Idaho,5821,3863
2020,Power,Idaho,0,2937
2020,Shoshone,Idaho,0,6990
2020,Teton,Idaho,0,5815
2020,Twin Falls,Idaho,22844,11849
2020,Valley,Idaho,4331,7858
2020,Washington,Idaho,2281,2233
2020,Adams,Illinois,20724,9511
2020,Alexander,Illinois,83,2863
2020,Bond,Illinois,2262,4596
2020,Boone,Illinois,14190,5967
2020,Brown,Illinois,0,2330
2020,Bureau,Illinois,7164,8452
2020,Calhoun,Illinois,0,2282
2020,Carroll,Illinois,0,8159
2020,Cass,Illinois,2505,3171
2020,Champaign,Illinois,79266,13809
2020,Christian,Illinois,8447,6737
2020,Clark,Illinois,0,7327
2020,Clay,Illinois,2261,3884
2020,Clinton,Illinois,3354,12220
2020,Coles,Illinois,17110,5629
2020,Cook,Illinois,2263843,1123
2020,Crawford,Illinois,3202,5269
2020,Cumberland,Illinois,0,4728
2020,DeKalb,Illinois,32437,8874
2020,De Witt,Illinois,3549,3760
2020,Douglas,Illinois,2344,6125
2020,DuPage,Illinois,364366,604
2020,Edgar,Illinois,4218,4018
2020,Edwards,Illinois,0,3041
2020,Effingham,Illinois,6588,8726
2020,Fayette,Illinois,2927,5902
2020,Ford,Illinois,2036,4229
2020,Franklin,Illinois,7847,10633
2020,Fulton,Illinois,5828,10027
2020,Gallatin,Illinois,0,2497
2020,Greene,Illinois,0,5785
2020,Grundy,Illinois,15655,5519
2020,Hamilton,Illinois,0,3806
2020,Hancock,Illinois,1332,7620
2020,Hardin,Illinois,0,2196
2020,Henderson,Illinois,28,3329
2020,Henry,Illinois,11375,10836
2020,Iroquois,Illinois,2444,10335
2020,Jackson,Illinois,17554,10189
2020,Jasper,Illinois,0,4228
2020,Jefferson,Illinois,7686,8946
2020,Jersey,Illinois,3980,5774
2020,Jo Daviess,Illinois,1225,12183
2020,Johnson,Illinois,0,5526
2020,Kane,Illinois,180522,7988
2020,Kankakee,Illinois,32109,13161
2020,Kendall,Illinois,39635,5373
2020,Knox,Illinois,15669,8148
2020,Lake,Illinois,265366,4012
2020,LaSalle,Illinois,35544,14268
2020,Lawrence,Illinois,2317,3962
2020,Lee,Illinois,6712,8273
2020,Livingston,Illinois,5731,10189
2020,Logan,Illinois,6756,5228
2020,McDonough,Illinois,8002,5607
2020,McHenry,Illinois,102618,17090
2020,McLean,Illinois,59416,15439
2020,Macon,Illinois,42057,7670
2020,Macoupin,Illinois,7272,13751
2020,Madison,Illinois,101167,17412
2020,Marion,Illinois,9377,7981
2020,Marshall,Illinois,0,5819
2020,Mason,Illinois,0,6626
2020,Massac,Illinois,3374,3423
2020,Menard,Illinois,0,5591
2020,Mercer,Illinois,0,7291
2020,Monroe,Illinois,8693,5847
2020,Montgomery,Illinois,5443,7068
2020,Morgan,Illinois,9559,5472
2020,Moultrie,Illinois,2043,4116
2020,Ogle,Illinois,7068,15564
2020,Peoria,Illinois,72245,12829
2020,Perry,Illinois,2969,6154
2020,Piatt,Illinois,2605,4755
2020,Pike,Illinois,0,7260
2020,Pope,Illinois,0,2355
2020,Pulaski,Illinois,0,2831
2020,Putnam,Illinois,0,3057
2020,Randolph,Illinois,2026,11347
2020,Richland,Illinois,4154,3210
2020,Rock Island,Illinois,59457,7272
2020,St. Clair,Illinois,99143,15452
2020,Saline,Illinois,4154,7422
2020,Sangamon,Illinois,77296,15686
2020,Schuyler,Illinois,0,3320
2020,Scott,Illinois,0,2388
2020,Shelby,Illinois,2541,7474
2020,Stark,Illinois,0,2577
2020,Stephenson,Illinois,11988,9381
2020,Tazewell,Illinois,46644,11906
2020,Union,Illinois,2749,5092
2020,Vermilion,Illinois,21142,13265
2020,Wabash,Illinois,3435,1974
2020,Warren,Illinois,3890,3712
2020,Washington,Illinois,41,6349
2020,Wayne,Illinois,2540,5139
2020,White,Illinois,2539,4212
2020,Whiteside,Illinois,15036,10819
2020,Will,Illinois,237357,13321
2020,Williamson,Illinois,19751,12067
2020,Winnebago,Illinois,113288,11695
2020,Woodford,Illinois,4605,11099
2020,Adams,Indiana,4820,8352
2020,Allen,Indiana,144345,18086
2020,Bartholomew,Indiana,24909,10408
2020,Benton,Indiana,0,3783
2020,Blackford,Indiana,3054,2803
2020,Boone,Indiana,20569,7534
2020,Brown,Indiana,0,8436
2020,Carroll,Indiana,1052,8431
2020,Cass,Indiana,8712,7667
2020,Clark,Indiana,41775,10394
2020,Clay,Indiana,4722,6910
2020,Clinton,Indiana,6650,6800
2020,Crawford,Indiana,0,5871
2020,Daviess,Indiana,5559,7179
2020,Dearborn,Indiana,8580,12265
2020,Decatur,Indiana,5556,5956
2020,DeKalb,Indiana,8813,9283
2020,Delaware,Indiana,40169,11295
2020,Dubois,Indiana,9744,8874
2020,Elkhart,Indiana,63335,16259
2020,Fayette,Indiana,7049,3837
2020,Floyd,Indiana,23772,10572
2020,Fountain,Indiana,0,7760
2020,Franklin,Indiana,950,8689
2020,Fulton,Indiana,3706,5826
2020,Gibson,Indiana,3995,10544
2020,Grant,Indiana,19146,10664
2020,Greene,Indiana,2621,11708
2020,Hamilton,Indiana,126917,8147
2020,Hancock,Indiana,23339,8786
2020,Harrison,Indiana,2509,14177
2020,Hendricks,Indiana,56563,10306
2020,Henry,Indiana,9020,11932
2020,Howard,Indiana,30603,9002
2020,Huntington,Indiana,8013,8204
2020,Jackson,Indiana,9807,9262
2020,Jasper,Indiana,2510,11005
2020,Jay,Indiana,3039,5851
2020,Jefferson,Indiana,7992,6394
2020,Jennings,Indiana,3113,8461
2020,Johnson,Indiana,55332,8061
2020,Knox,Indiana,9176,7741
2020,Kosciusko,Indiana,20712,17421
2020,LaGrange,Indiana,0,14845
2020,Lake,Indiana,205791,8984
